installation,plot_id,status,location,date,ticks_on_trap,adult_on_trap,nymph_on_trap,cutoff_deer_plot
peaceriver,i2,invaded,NE,20190418,0,0,0,18
peaceriver,i2,invaded,SW,20190418,0,0,0,18
peaceriver,i2,invaded,SE,20190418,0,0,0,18
peaceriver,i3,invaded,NW,20190411,0,0,0,124
peaceriver,i3,invaded,NE,20190411,0,0,0,124
peaceriver,i3,invaded,SW,20190411,0,0,0,124
peaceriver,i3,invaded,SE,20190411,0,0,0,124
peaceriver,i3,invaded,NW,20190418,0,0,0,124
peaceriver,i3,invaded,NE,20190418,0,0,0,124
peaceriver,i3,invaded,SW,20190418,0,0,0,124
peaceriver,i3,invaded,SE,20190418,0,0,0,124
peaceriver,i4,invaded,NW,20190508,0,0,0,NA
peaceriver,i4,invaded,NE,20190508,0,0,0,NA
peaceriver,i4,invaded,SW,20190508,0,0,0,NA
peaceriver,i4,invaded,SE,20190508,0,0,0,NA
peaceriver,i5,invaded,NW,20190508,0,0,0,NA
peaceriver,i5,invaded,NE,20190508,0,0,0,NA
peaceriver,i5,invaded,SW,20190508,0,0,0,NA
peaceriver,i5,invaded,SE,20190508,0,0,0,NA
peaceriver,n1,native,NW,20190508,0,0,0,NA
peaceriver,n1,native,NE,20190508,0,0,0,NA
peaceriver,n1,native,SW,20190508,0,0,0,NA
peaceriver,n1,native,SE,20190508,0,0,0,NA
riversedge,i1,invaded,NW,20190501,2,2,0,0
riversedge,i1,invaded,NE,20190501,0,0,0,0
riversedge,i1,invaded,SW,20190501,0,0,0,0
riversedge,i1,invaded,SE,20190501,3,3,0,0
riversedge,i1,invaded,NW,20190607,0,0,0,0
riversedge,i1,invaded,NE,20190607,0,0,0,0
riversedge,i1,invaded,SW,20190607,0,0,0,0
riversedge,i1,invaded,SE,20190607,0,0,0,0
riversedge,i2,invaded,NW,20190501,0,0,0,0
riversedge,i2,invaded,NE,20190501,0,0,0,0
riversedge,i2,invaded,SW,20190501,0,0,0,0
riversedge,i2,invaded,SE,20190501,1,1,0,0
riversedge,i2,invaded,NW,20190607,0,0,0,0
riversedge,i2,invaded,NE,20190607,0,0,0,0
riversedge,i2,invaded,SW,20190607,0,0,0,0
riversedge,i2,invaded,SE,20190607,0,0,0,0
riversedge,i3,invaded,NW,20190501,0,0,0,NA
riversedge,i3,invaded,NE,20190501,0,0,0,NA
riversedge,i3,invaded,SW,20190501,0,0,0,NA
riversedge,i3,invaded,SE,20190501,0,0,0,NA
riversedge,i3,invaded,NW,20190607,0,0,0,NA
riversedge,i3,invaded,NE,20190607,0,0,0,NA
riversedge,i3,invaded,SW,20190607,0,0,0,NA
riversedge,i3,invaded,SE,20190607,0,0,0,NA
riversedge,n1,native,NW,20190501,1,0,1,0
riversedge,n1,native,NE,20190501,0,0,0,0
riversedge,n1,native,SW,20190501,0,0,0,0
riversedge,n1,native,SE,20190501,0,0,0,0
riversedge,n1,native,NW,20190607,0,0,0,0
riversedge,n1,native,NE,20190607,0,0,0,0
riversedge,n1,native,SW,20190607,0,0,0,0
riversedge,n1,native,SE,20190607,0,0,0,0
seay,i1,invaded,NW,20190424,1,0,1,11
seay,i1,invaded,NE,20190424,0,0,0,11
seay,i1,invaded,SW,20190424,0,0,0,11
seay,i1,invaded,SE,20190424,0,0,0,11
seay,i2,invaded,NW,20190515,0,0,0,0
seay,i2,invaded,NE,20190515,0,0,0,0
seay,i2,invaded,SW,20190515,0,0,0,0
seay,i2,invaded,SE,20190515,0,0,0,0
seay,n1,native,NW,20190424,0,0,0,78
seay,n1,native,NE,20190424,0,0,0,78
seay,n1,native,SW,20190424,0,0,0,78
seay,n1,native,SE,20190424,0,0,0,78
seay,n2,native,NW,20190515,3,1,2,8
seay,n2,native,NE,20190515,0,0,0,8
seay,n2,native,SW,20190515,4,1,3,8
seay,n2,native,SE,20190515,0,0,0,8
silversprings,i1,invaded,NW,20190405,2,2,0,0
silversprings,i1,invaded,NE,20190405,2,0,2,0
silversprings,i1,invaded,SW,20190405,1,1,0,0
silversprings,i1,invaded,SE,20190405,0,0,0,0
silversprings,i1,invaded,N,20190426,1,0,1,0
silversprings,i1,invaded,S,20190426,1,0,1,0
silversprings,i1,invaded,E,20190426,1,0,1,0
silversprings,i1,invaded,W,20190426,0,0,0,0
silversprings,i1,invaded,C,20190517,0,0,0,0
silversprings,i1,invaded,N,20190517,2,0,2,0
silversprings,i1,invaded,S,20190517,2,0,2,0
silversprings,i1,invaded,SW,20190517,5,0,5,0
silversprings,n1,native,NW,20190405,1,1,0,20
silversprings,n1,native,NE,20190405,2,2,0,20
silversprings,n1,native,SW,20190405,1,1,0,20
silversprings,n1,native,SE,20190405,0,0,0,20
silversprings,n1,native,N,20190426,0,0,0,20
silversprings,n1,native,S,20190426,1,0,1,20
silversprings,n1,native,E,20190426,0,0,0,20
silversprings,n1,native,W,20190426,0,0,0,20
silversprings,n1,native,N,20190517,0,0,0,20
silversprings,n1,native,S,20190517,3,2,1,20
silversprings,n1,native,E,20190517,1,1,0,20
silversprings,n1,native,W,20190517,0,0,0,20
wes,i1,invaded,NW,20190403,1,0,1,42
wes,i1,invaded,NE,20190403,4,0,4,42
wes,i1,invaded,SW,20190403,3,0,3,42
wes,i1,invaded,SE,20190403,6,1,5,42
wes,i1,invaded,E,20190515,1,0,1,42
wes,i1,invaded,NE,20190515,1,1,0,42
wes,i1,invaded,S,20190515,9,0,9,42
wes,i1,invaded,SW,20190515,0,0,0,42
wes,i2,invaded,NW,20190424,0,0,0,45
wes,i2,invaded,NE,20190424,0,0,0,45
wes,i2,invaded,SW,20190424,1,1,0,45
wes,i2,invaded,SE,20190424,0,0,0,45
wes,i3,invaded,NW,20190515,1,0,1,6
wes,i3,invaded,NE,20190515,0,0,0,6
wes,i3,invaded,SW,20190515,0,0,0,6
wes,i3,invaded,SE,20190515,1,0,1,6
wes,n1,native,NW,20190424,0,0,0,106
wes,n1,native,NE,20190424,0,0,0,106
wes,n1,native,SW,20190424,0,0,0,106
wes,n1,native,SE,20190424,0,0,0,106
wes,n1,native,N,20190515,13,1,12,106
wes,n1,native,E,20190515,1,1,0,106
wes,n1,native,S,20190515,0,0,0,106
wes,n1,native,W,20190515,0,0,0,106
