LocationID,Tag,Invaded,Date,JulianDay,nymphs_alive,nymphs_dead,nymph_survival,adult_F_alive,adult_F_dead,adult_F_survival,adult_M_alive,adult_M_dead,adult_M_survival,avg_cc,visit_number,NOTES
C-12,3148,Yes,20180706,187,10,0,1,5,0,1,5,0,1,44.2,3,changed nymphs alice from 9 to 10 based on future data checks of 10
N-1,3165,No,20180706,187,4,6,0.4,4,1,0.8,5,0,1,50.44,3,changed nymphs alive form 3 to 4 based on timepoints on either side; changed adult female alive from 5 to 4 based on timepoints on eitherside; changed adult M alive from 4 to 5 based on 7/16 timepoint
N-2,3159,No,20180706,187,8,0,1,5,0,1,5,0,1,52.52,3,
N-3,3166,No,20180706,187,5,5,0.5,5,0,1,5,0,1,55.64,3,
N-4,3149,No,20180706,187,9,1,0.9,5,0,1,4,0,1,45.5,3,changed nymphs alive form 8 to 9 based on timepoints on either side
N-5,3162,No,20180706,187,2,8,0.2,1,5,0.166666667,2,2,0.5,50.96,3,"changed Adult F dead to 5 and Adult M dead to 2 based on different numbers of ticks in bag (6F, 4M)"
N-6,3155,No,20180706,187,5,4,0.555555556,1,4,0.2,0,5,0,51.22,3,changed adult F alive from 2 to 1 based on 7/2 timepoint
N-7,3157,No,20180706,187,9,0,1,5,0,1,5,0,1,51.22,3,
N-8,3160,No,20180706,187,6,4,0.6,5,0,1,5,0,1,48.62,3,
N-9,3163,No,20180706,187,6,4,0.6,5,0,1,5,0,1,44.98,3,changed nymphs alive from 5 to 6 based on 7/16 timepoint
N-10,3164,No,20180706,187,8,4,0.666666667,5,0,1,5,0,1,43.42,3,changed nymphs alive from 5 to 8 and nymphs dead from 6 to 4 based on 7/30 and 7/23 timepoints
N-11,3150,No,20180706,187,9,1,0.9,5,0,1,5,0,1,39.78,3,
N-12,3158,No,20180706,187,10,0,1,5,0,1,5,0,1,33.8,3,
N-1,3165,No,20180716,197,4,6,0.4,4,1,0.8,5,0,1,50.44,4,
N-2,3159,No,20180716,197,10,0,1,4,1,0.8,5,0,1,52.52,4,
N-3,3166,No,20180716,197,5,5,0.5,5,0,1,5,0,1,55.64,4,
N-4,3149,No,20180716,197,9,1,0.9,5,0,1,4,0,1,45.5,4,
N-5,3162,No,20180716,197,2,8,0.2,1,5,0.166666667,2,2,0.5,50.96,4,"changed Adult F dead to 5 and Adult M dead to 2 based on different numbers of ticks in bag (6F, 4M)"
N-6,3155,No,20180716,197,5,5,0.5,0,5,0,0,4,0,51.22,4,
N-7,3157,No,20180716,197,9,0,1,5,0,1,5,0,1,51.22,4,
N-8,3160,No,20180716,197,6,4,0.6,5,0,1,5,0,1,48.62,4,changed nymphs dead from 3 to 4 based on 7/23 timepoint
N-9,3163,No,20180716,197,6,4,0.6,5,0,1,4,1,0.8,44.98,4,
N-10,3164,No,20180716,197,8,4,0.666666667,5,0,1,5,0,1,43.42,4,
N-11,3150,No,20180716,197,9,1,0.9,4,1,0.8,5,0,1,39.78,4,
N-12,3158,No,20180716,197,10,0,1,5,0,1,5,0,1,33.8,4,
C-1,3161,Yes,20180716,197,10,0,1,5,0,1,5,0,1,48.88,4,
C-2,3147,Yes,20180716,197,10,0,1,5,0,1,5,0,1,51.48,4,
C-3,3144,Yes,20180716,197,4,1,0.8,5,0,1,5,0,1,48.62,4,
C-4,3156,Yes,20180716,197,10,0,1,5,0,1,5,0,1,49.14,4,
C-5,3154,Yes,20180716,197,9,1,0.9,5,0,1,5,0,1,50.18,4,
C-6,3143,Yes,20180716,197,8,2,0.8,5,0,1,4,1,0.8,48.36,4,changed dead nymphs from 0 to 2 based on timepoints on either side
C-7,3146,Yes,20180716,197,8,2,0.8,5,0,1,5,0,1,42.38,4,
C-8,3151,Yes,20180716,197,10,0,1,5,0,1,5,0,1,56.16,4,
C-9,3153,Yes,20180716,197,10,0,1,5,0,1,5,0,1,58.24,4,
C-10,3145,Yes,20180716,197,10,0,1,5,0,1,5,0,1,44.72,4,
C-11,3152,Yes,20180716,197,10,0,1,5,0,1,5,0,1,36.92,4,
C-12,3148,Yes,20180716,197,10,0,1,5,0,1,5,0,1,44.2,4,
N-1,3165,No,20180723,204,4,6,0.4,4,1,0.8,5,0,1,50.44,5,
N-2,3159,No,20180723,204,9,0,1,4,1,0.8,5,0,1,52.52,5,
N-3,3166,No,20180723,204,5,5,0.5,5,0,1,5,0,1,55.64,5,
N-4,3149,No,20180723,204,9,1,0.9,5,0,1,4,0,1,45.5,5,
N-5,3162,No,20180723,204,2,8,0.2,1,5,0.166666667,2,2,0.5,50.96,5,"changed Adult F dead to 5 and Adult M dead to 2 based on different numbers of ticks in bag (6F, 4M)"
N-6,3155,No,20180723,204,5,5,0.5,0,5,0,0,5,0,51.22,5,
N-7,3157,No,20180723,204,10,0,1,5,0,1,5,0,1,51.22,5,
N-8,3160,No,20180723,204,6,4,0.6,5,0,1,5,0,1,48.62,5,changed adult M alive from 4 to 5 based on 7/30 timepoint
N-9,3163,No,20180723,204,6,4,0.6,5,0,1,4,1,0.8,44.98,5,
N-10,3164,No,20180723,204,8,4,0.666666667,5,0,1,5,0,1,43.42,5,changed nymphs dead to 4 instead of 3 (on datasheet) b/c of previous time point
N-11,3150,No,20180723,204,9,1,0.9,4,1,0.8,5,0,1,39.78,5,
N-12,3158,No,20180723,204,10,0,1,5,0,1,4,1,0.8,33.8,5,
C-1,3161,Yes,20180723,204,10,0,1,5,0,1,5,0,1,48.88,5,
C-2,3147,Yes,20180723,204,10,0,1,5,0,1,5,0,1,51.48,5,
C-3,3144,Yes,20180723,204,4,1,0.8,5,0,1,5,0,1,48.62,5,
C-4,3156,Yes,20180723,204,10,0,1,5,0,1,5,0,1,49.14,5,
C-5,3154,Yes,20180723,204,9,1,0.9,5,0,1,5,0,1,50.18,5,changed nyphs alive from 7 to 9 for 7/30 timepoint
C-6,3143,Yes,20180723,204,8,2,0.8,5,0,1,4,1,0.8,48.36,5,
C-7,3146,Yes,20180723,204,8,2,0.8,5,0,1,5,0,1,42.38,5,
C-8,3151,Yes,20180723,204,10,0,1,5,0,1,5,0,1,56.16,5,
C-9,3153,Yes,20180723,204,10,0,1,5,0,1,5,0,1,58.24,5,
C-10,3145,Yes,20180723,204,10,0,1,5,0,1,4,1,0.8,44.72,5,
C-11,3152,Yes,20180723,204,10,0,1,5,0,1,5,0,1,36.92,5,
C-12,3148,Yes,20180723,204,10,0,1,5,0,1,5,0,1,44.2,5,
N-1,3165,No,20180730,211,4,6,0.4,4,1,0.8,5,0,1,50.44,6,
N-2,3159,No,20180730,211,10,0,1,4,1,0.8,5,0,1,52.52,6,
N-3,3166,No,20180730,211,5,5,0.5,5,0,1,5,0,1,55.64,6,changed nymphs dead from 4 to 5 and nymphs alive from 6 to 5 based on all previous timepoints
N-4,3149,No,20180730,211,9,1,0.9,5,0,1,4,0,1,45.5,6,
N-5,3162,No,20180730,211,2,8,0.2,1,5,0.166666667,1,3,0.25,50.96,6,"changed Adult F dead to 5 and Adult M dead to 3 based on different numbers of ticks in bag (6F, 4M)"
N-6,3155,No,20180730,211,5,5,0.5,0,5,0,0,5,0,51.22,6,
N-7,3157,No,20180730,211,10,0,1,5,0,1,5,0,1,51.22,6,
N-8,3160,No,20180730,211,6,4,0.6,5,0,1,5,0,1,48.62,6,changed nymps alive from 7 to 6 and nymphs dead form 3 to 4 based on 8/15 and 8/27 observations
N-9,3163,No,20180730,211,6,4,0.6,5,0,1,4,1,0.8,44.98,6,
N-10,3164,No,20180730,211,8,4,0.666666667,5,0,1,5,0,1,43.42,6,
N-11,3150,No,20180730,211,9,1,0.9,4,1,0.8,5,0,1,39.78,6,
N-12,3158,No,20180730,211,10,0,1,5,0,1,4,1,0.8,33.8,6,
C-1,3161,Yes,20180730,211,10,0,1,5,0,1,5,0,1,48.88,6,
C-2,3147,Yes,20180730,211,10,0,1,5,0,1,5,0,1,51.48,6,
C-3,3144,Yes,20180730,211,3,1,0.75,5,0,1,5,0,1,48.62,6,
C-4,3156,Yes,20180730,211,10,0,1,5,0,1,5,0,1,49.14,6,
C-5,3154,Yes,20180730,211,9,1,0.9,5,0,1,5,0,1,50.18,6,
C-6,3143,Yes,20180730,211,8,2,0.8,5,0,1,4,1,0.8,48.36,6,
C-7,3146,Yes,20180730,211,8,2,0.8,5,0,1,5,0,1,42.38,6,
C-8,3151,Yes,20180730,211,10,0,1,5,0,1,5,0,1,56.16,6,
C-9,3153,Yes,20180730,211,10,0,1,5,0,1,5,0,1,58.24,6,
C-10,3145,Yes,20180730,211,10,0,1,5,0,1,4,1,0.8,44.72,6,
C-11,3152,Yes,20180730,211,10,0,1,5,0,1,5,0,1,36.92,6,
C-12,3148,Yes,20180730,211,10,0,1,5,0,1,5,0,1,44.2,6,
C-1,3161,Yes,20180815,227,10,0,1,5,0,1,5,0,1,48.88,7,
C-2,3147,Yes,20180815,227,10,0,1,5,0,1,5,0,1,51.48,7,
C-3,3144,Yes,20180815,227,2,1,0.666666667,5,0,1,5,0,1,48.62,7,changed nymphs dead from 0 to 1 based on two previous timepoints
C-4,3156,Yes,20180815,227,10,0,1,5,0,1,5,0,1,49.14,7,changed nymphs alive from 11 to 10 based on past and future data checks
C-5,3154,Yes,20180815,227,9,1,0.9,5,0,1,5,0,1,50.18,7,changed nymphs alive to 9 based on 8/27 data check of 9 alive nymphs
C-6,3143,Yes,20180815,227,8,2,0.8,5,0,1,4,1,0.8,48.36,7,changed nymphs dead to 2 based on 8/27 and 7/30 data checks of 2 dead nymphs
C-7,3146,Yes,20180815,227,8,2,0.8,5,0,1,5,0,1,42.38,7,
C-8,3151,Yes,20180815,227,10,0,1,5,0,1,5,0,1,56.16,7,
C-9,3153,Yes,20180815,227,10,0,1,5,0,1,5,0,1,58.24,7,
C-10,3145,Yes,20180815,227,10,0,1,5,0,1,4,1,0.8,44.72,7,
C-11,3152,Yes,20180815,227,10,0,1,5,0,1,5,0,1,36.92,7,
C-12,3148,Yes,20180815,227,10,0,1,5,0,1,5,0,1,44.2,7,
N-1,3165,No,20180815,227,4,6,0.4,4,1,0.8,5,0,1,50.44,7,
N-2,3159,No,20180815,227,10,0,1,4,1,0.8,5,0,1,52.52,7,
N-3,3166,No,20180815,227,5,5,0.5,5,0,1,5,0,1,55.64,7,
N-4,3149,No,20180815,227,9,1,0.9,5,0,1,4,0,1,45.5,7,changed nymphs alive from 8 to 9 and nymphs dead from 2 to 1 based on 8/27 observation
N-5,3162,No,20180815,227,2,8,0.2,1,5,0.166666667,1,3,0.25,50.96,7,"changed Adult F dead to 5 and Adult M dead to 2 based on different numbers of ticks in bag (6F, 4M)"
N-6,3155,No,20180815,227,5,5,0.5,0,5,0,0,5,0,51.22,7,
N-7,3157,No,20180815,227,10,0,1,5,0,1,5,0,1,51.22,7,
N-8,3160,No,20180815,227,6,4,0.6,5,0,1,5,0,1,48.62,7,
N-9,3163,No,20180815,227,6,4,0.6,4,1,0.8,4,1,0.8,44.98,7,changed nymphs alive from 7 to 6 and nymphs dead form 3 to 4 based on previous timepoints
N-10,3164,No,20180815,227,8,4,0.666666667,5,0,1,5,0,1,43.42,7,changed nymphs dead from 3 to 4 based on previous timepoints
N-11,3150,No,20180815,227,9,1,0.9,3,2,0.6,4,1,0.8,39.78,7,
N-12,3158,No,20180815,227,10,0,1,5,0,1,4,1,0.8,33.8,7,
C-1,3161,Yes,20180827,240,9,1,0.9,5,0,1,5,0,1,48.88,8,changed nymphs alive from 8 to 9 based on 9/6 data check
C-2,3147,Yes,20180827,240,9,1,0.9,5,0,1,5,0,1,51.48,8,changed nymphs dead from 4 to 1 and nymphs alive form 6 to 9 based on 9/6 data check
C-3,3144,Yes,20180827,240,2,1,0.666666667,5,0,1,5,0,1,48.62,8,changed nymphs dead from 0 to 1 based on two previous timepoints
C-4,3156,Yes,20180827,240,10,0,1,5,0,1,5,0,1,49.14,8,
C-5,3154,Yes,20180827,240,9,1,0.9,5,0,1,5,0,1,50.18,8,changed nymphs dead to 1 based on previous timepoints
C-6,3143,Yes,20180827,240,8,2,0.8,5,0,1,4,1,0.8,48.36,8,
C-7,3146,Yes,20180827,240,8,2,0.8,5,0,1,5,0,1,42.38,8,
C-8,3151,Yes,20180827,240,10,0,1,5,0,1,5,0,1,56.16,8,
C-9,3153,Yes,20180827,240,9,0,1,5,0,1,5,0,1,58.24,8,
C-10,3145,Yes,20180827,240,10,0,1,5,0,1,4,1,0.8,44.72,8,
C-11,3152,Yes,20180827,240,10,0,1,5,0,1,5,0,1,36.92,8,
C-12,3148,Yes,20180827,240,8,2,0.8,5,0,1,5,0,1,44.2,8,changed nymphs alive from 7 to 8 based on 9/6 data check
N-1,3165,No,20180827,240,4,6,0.4,4,1,0.8,4,1,0.8,50.44,8,
N-2,3159,No,20180827,240,10,0,1,4,1,0.8,5,0,1,52.52,8,
N-3,3166,No,20180827,240,5,5,0.5,5,0,1,5,0,1,55.64,8,
N-4,3149,No,20180827,240,9,1,0.9,5,0,1,4,0,1,45.5,8,
N-5,3162,No,20180827,240,2,8,0.2,1,5,0.166666667,1,3,0.25,50.96,8,"changed Adult F dead to 5 and Adult M dead to 2 based on different numbers of ticks in bag (6F, 4M)"
N-6,3155,No,20180827,240,1,9,0.1,0,5,0,0,5,0,51.22,8,
N-7,3157,No,20180827,240,10,0,1,5,0,1,5,0,1,51.22,8,
N-8,3160,No,20180827,240,6,4,0.6,5,0,1,5,0,1,48.62,8,
N-9,3163,No,20180827,240,6,4,0.6,4,1,0.8,4,1,0.8,44.98,8,changed nymphs alive from 7 to 6 and nymphs dead form 3 to 4 based on previous timepoints
N-10,3164,No,20180827,240,8,4,0.666666667,4,1,0.8,5,0,1,43.42,8,changed nymphs dead from 3 to 4 based on previous timepoints
N-11,3150,No,20180827,240,8,2,0.8,3,2,0.6,3,2,0.6,39.78,8,
N-12,3158,No,20180827,240,10,0,1,5,0,1,4,1,0.8,33.8,8,
C-1,3161,Yes,20180906,249,9,1,0.9,5,0,1,5,0,1,48.88,9,
C-2,3147,Yes,20180906,249,9,1,0.9,5,0,1,5,0,1,51.48,9,
C-3,3144,Yes,20180906,249,2,1,0.666666667,5,0,1,5,0,1,48.62,9,changed nymphs dead from 0 to 1 based on two previous timepoints
C-4,3156,Yes,20180906,249,10,0,1,5,0,1,5,0,1,49.14,9,
C-5,3154,Yes,20180906,249,8,1,0.888888889,5,0,1,5,0,1,50.18,9,
C-6,3143,Yes,20180906,249,8,2,0.8,5,0,1,4,1,0.8,48.36,9,
C-7,3146,Yes,20180906,249,8,2,0.8,5,0,1,5,0,1,42.38,9,
C-8,3151,Yes,20180906,249,10,0,1,5,0,1,5,0,1,56.16,9,
C-9,3153,Yes,20180906,249,9,0,1,5,0,1,5,0,1,58.24,9,
C-10,3145,Yes,20180906,249,10,0,1,5,0,1,4,1,0.8,44.72,9,
C-11,3152,Yes,20180906,249,10,0,1,5,0,1,5,0,1,36.92,9,
C-12,3148,Yes,20180906,249,8,2,0.8,5,0,1,5,0,1,44.2,9,
N-1,3165,No,20180906,249,4,6,0.4,4,1,0.8,4,1,0.8,50.44,9,
N-2,3159,No,20180906,249,10,0,1,4,1,0.8,5,0,1,52.52,9,
N-3,3166,No,20180906,249,4,6,0.4,5,0,1,5,0,1,55.64,9,
N-4,3149,No,20180906,249,9,1,0.9,5,0,1,4,0,1,45.5,9,
N-5,3162,No,20180906,249,2,8,0.2,1,5,0.166666667,1,3,0.25,50.96,9,"changed Adult F dead to 5 and Adult M dead to 2 based on different numbers of ticks in bag (6F, 4M)"
N-6,3155,No,20180906,249,1,9,0.1,0,5,0,0,5,0,51.22,9,
N-7,3157,No,20180906,249,10,0,1,5,0,1,5,0,1,51.22,9,
N-8,3160,No,20180906,249,6,4,0.6,5,0,1,5,0,1,48.62,9,
N-9,3163,No,20180906,249,5,4,0.555555556,4,1,0.8,4,1,0.8,44.98,9,
N-10,3164,No,20180906,249,7,4,0.636363636,4,1,0.8,5,0,1,43.42,9,
N-11,3150,No,20180906,249,7,3,0.7,3,2,0.6,3,2,0.6,39.78,9,
N-12,3158,No,20180906,249,10,0,1,5,0,1,4,1,0.8,33.8,9,
C-1,3161,Yes,20180918,261,9,1,0.9,5,0,1,5,0,1,48.88,10,
C-2,3147,Yes,20180918,261,8,2,0.8,5,0,1,5,0,1,51.48,10,
C-3,3144,Yes,20180918,261,2,1,0.666666667,5,0,1,5,0,1,48.62,10,changed nymph dead form 0 to 1 based on previous time points
C-4,3156,Yes,20180918,261,10,0,1,5,0,1,5,0,1,49.14,10,
C-5,3154,Yes,20180918,261,8,1,0.888888889,5,0,1,5,0,1,50.18,10,
C-6,3143,Yes,20180918,261,7,3,0.7,5,0,1,4,1,0.8,48.36,10,
C-7,3146,Yes,20180918,261,8,2,0.8,4,1,0.8,5,0,1,42.38,10,
C-8,3151,Yes,20180918,261,10,0,1,5,0,1,5,0,1,56.16,10,
C-9,3153,Yes,20180918,261,8,2,0.8,5,0,1,5,0,1,58.24,10,
C-10,3145,Yes,20180918,261,10,0,1,5,0,1,3,2,0.6,44.72,10,
C-11,3152,Yes,20180918,261,9,1,0.9,5,0,1,5,0,1,36.92,10,
C-12,3148,Yes,20180918,261,4,6,0.4,5,0,1,5,0,1,44.2,10,
N-1,3165,No,20180918,261,4,6,0.4,4,1,0.8,4,1,0.8,50.44,10,
N-2,3159,No,20180918,261,8,2,0.8,4,1,0.8,5,0,1,52.52,10,
N-3,3166,No,20180918,261,4,6,0.4,5,0,1,5,0,1,55.64,10,
N-4,3149,No,20180918,261,9,1,0.9,5,0,1,4,0,1,45.5,10,
N-5,3162,No,20180918,261,2,8,0.2,1,5,0.166666667,1,3,0.25,50.96,10,"changed Adult F dead to 5 and Adult M dead to 2 based on different numbers of ticks in bag (6F, 4M)"
N-6,3155,No,20180918,261,0,10,0,0,5,0,0,5,0,51.22,10,
N-7,3157,No,20180918,261,7,3,0.7,5,0,1,5,0,1,51.22,10,
N-8,3160,No,20180918,261,4,6,0.4,5,0,1,5,0,1,48.62,10,
N-9,3163,No,20180918,261,4,5,0.444444444,3,2,0.6,3,2,0.6,44.98,10,
N-10,3164,No,20180918,261,2,9,0.181818182,4,1,0.8,5,0,1,43.42,10,
N-11,3150,No,20180918,261,6,4,0.6,0,5,0,3,2,0.6,39.78,10,
N-12,3158,No,20180918,261,10,0,1,5,0,1,4,1,0.8,33.8,10,
C-1,3161,Yes,20180927,270,8,2,0.8,5,0,1,5,0,1,48.88,11,
C-2,3147,Yes,20180927,270,7,3,0.7,5,0,1,5,0,1,51.48,11,
C-3,3144,Yes,20180927,270,2,1,0.666666667,5,0,1,5,0,1,48.62,11,changed nymph dead form 0 to 1 based on previous time points
C-4,3156,Yes,20180927,270,9,1,0.9,5,0,1,5,0,1,49.14,11,
C-5,3154,Yes,20180927,270,7,2,0.777777778,5,0,1,5,0,1,50.18,11,
C-6,3143,Yes,20180927,270,7,3,0.7,5,0,1,4,1,0.8,48.36,11,
C-7,3146,Yes,20180927,270,6,4,0.6,4,1,0.8,5,0,1,42.38,11,
C-8,3151,Yes,20180927,270,7,3,0.7,5,0,1,5,0,1,56.16,11,
C-9,3153,Yes,20180927,270,6,4,0.6,5,0,1,5,0,1,58.24,11,
C-10,3145,Yes,20180927,270,8,2,0.8,5,0,1,3,2,0.6,44.72,11,
C-11,3152,Yes,20180927,270,8,2,0.8,5,0,1,5,0,1,36.92,11,
C-12,3148,Yes,20180927,270,4,6,0.4,5,0,1,5,0,1,44.2,11,
N-1,3165,No,20180927,270,3,7,0.3,4,1,0.8,4,1,0.8,50.44,11,
N-2,3159,No,20180927,270,7,3,0.7,4,1,0.8,5,0,1,52.52,11,
N-3,3166,No,20180927,270,2,8,0.2,5,0,1,5,0,1,55.64,11,
N-4,3149,No,20180927,270,8,2,0.8,5,0,1,4,0,1,45.5,11,
N-5,3162,No,20180927,270,1,9,0.1,1,5,0.166666667,1,3,0.25,50.96,11,"changed Adult F dead to 5 and Adult M dead to 2 based on different numbers of ticks in bag (6F, 4M)"
N-6,3155,No,20180927,270,0,10,0,0,5,0,0,5,0,51.22,11,
N-7,3157,No,20180927,270,5,5,0.5,5,0,1,5,0,1,51.22,11,
N-8,3160,No,20180927,270,1,9,0.1,5,0,1,5,0,1,48.62,11,
N-9,3163,No,20180927,270,4,5,0.444444444,3,2,0.6,3,2,0.6,44.98,11,
N-10,3164,No,20180927,270,2,9,0.181818182,3,2,0.6,5,0,1,43.42,11,
N-11,3150,No,20180927,270,4,6,0.4,0,5,0,1,4,0.2,39.78,11,
N-12,3158,No,20180927,270,10,0,1,5,0,1,4,1,0.8,33.8,11,
C-1,3161,Yes,20181009,282,8,2,0.8,5,0,1,5,0,1,48.88,12,
C-2,3147,Yes,20181009,282,7,3,0.7,5,0,1,5,0,1,51.48,12,
C-3,3144,Yes,20181009,282,2,1,0.666666667,5,0,1,5,0,1,48.62,12,
C-4,3156,Yes,20181009,282,9,1,0.9,5,0,1,5,0,1,49.14,12,
C-5,3154,Yes,20181009,282,6,3,0.666666667,5,0,1,5,0,1,50.18,12,
C-6,3143,Yes,20181009,282,6,4,0.6,5,0,1,4,1,0.8,48.36,12,
C-7,3146,Yes,20181009,282,3,7,0.3,4,1,0.8,5,0,1,42.38,12,
C-8,3151,Yes,20181009,282,3,7,0.3,5,0,1,5,0,1,56.16,12,
C-9,3153,Yes,20181009,282,3,7,0.3,5,0,1,5,0,1,58.24,12,
C-10,3145,Yes,20181009,282,6,4,0.6,5,0,1,3,2,0.6,44.72,12,
C-11,3152,Yes,20181009,282,6,4,0.6,5,0,1,5,0,1,36.92,12,
C-12,3148,Yes,20181009,282,2,8,0.2,5,0,1,5,0,1,44.2,12,
N-1,3165,No,20181009,282,1,9,0.1,4,1,0.8,4,1,0.8,50.44,12,
N-2,3159,No,20181009,282,5,5,0.5,4,1,0.8,5,0,1,52.52,12,
N-3,3166,No,20181009,282,1,9,0.1,5,0,1,5,0,1,55.64,12,
N-4,3149,No,20181009,282,5,5,0.5,5,0,1,4,0,1,45.5,12,
N-5,3162,No,20181009,282,1,9,0.1,1,5,0.166666667,1,3,0.25,50.96,12,"changed Adult F dead to 5 and Adult M dead to 2 based on different numbers of ticks in bag (6F, 4M)"
