LocationID,Tag,logger_id,Invaded,Date,JulianDay,nymphs_alive,nymphs_dead,nymph_survival,adult_F_alive,adult_F_dead,adult_F_survival,adult_M_alive,adult_M_dead,adult_M_survival,visit_number
N-12,3158,24,No,20180716,197,10,0,1,5,0,1,5,0,1,4
C-1,3161,1,Yes,20180716,197,10,0,1,5,0,1,5,0,1,4
C-2,3147,2,Yes,20180716,197,10,0,1,5,0,1,5,0,1,4
C-3,3144,3,Yes,20180716,197,4,1,0.8,5,0,1,5,0,1,4
C-4,3156,4,Yes,20180716,197,10,0,1,5,0,1,5,0,1,4
C-5,3154,5,Yes,20180716,197,9,1,0.9,5,0,1,5,0,1,4
C-6,3143,6,Yes,20180716,197,8,2,0.8,5,0,1,4,1,0.8,4
C-7,3146,7,Yes,20180716,197,8,2,0.8,5,0,1,5,0,1,4
C-8,3151,8,Yes,20180716,197,10,0,1,5,0,1,5,0,1,4
C-9,3153,9,Yes,20180716,197,10,0,1,5,0,1,5,0,1,4
C-10,3145,10,Yes,20180716,197,10,0,1,5,0,1,5,0,1,4
C-11,3152,11,Yes,20180716,197,10,0,1,5,0,1,5,0,1,4
C-12,3148,12,Yes,20180716,197,10,0,1,5,0,1,5,0,1,4
N-1,3165,13,No,20180723,204,4,6,0.4,4,1,0.8,5,0,1,5
N-2,3159,14,No,20180723,204,9,0,1,4,1,0.8,5,0,1,5
N-3,3166,15,No,20180723,204,5,5,0.5,5,0,1,5,0,1,5
N-4,3149,16,No,20180723,204,9,1,0.9,5,0,1,4,0,1,5
N-5,3162,17,No,20180723,204,2,8,0.2,1,5,0.166666667,2,2,0.5,5
N-6,3155,18,No,20180723,204,5,5,0.5,0,5,0,0,5,0,5
N-7,3157,19,No,20180723,204,10,0,1,5,0,1,5,0,1,5
N-8,3160,20,No,20180723,204,6,4,0.6,5,0,1,5,0,1,5
N-9,3163,21,No,20180723,204,6,4,0.6,5,0,1,4,1,0.8,5
N-10,3164,22,No,20180723,204,8,4,0.666666667,5,0,1,5,0,1,5
N-11,3150,23,No,20180723,204,9,1,0.9,4,1,0.8,5,0,1,5
N-12,3158,24,No,20180723,204,10,0,1,5,0,1,4,1,0.8,5
C-1,3161,1,Yes,20180723,204,10,0,1,5,0,1,5,0,1,5
C-2,3147,2,Yes,20180723,204,10,0,1,5,0,1,5,0,1,5
C-3,3144,3,Yes,20180723,204,4,1,0.8,5,0,1,5,0,1,5
C-4,3156,4,Yes,20180723,204,10,0,1,5,0,1,5,0,1,5
C-5,3154,5,Yes,20180723,204,9,1,0.9,5,0,1,5,0,1,5
C-6,3143,6,Yes,20180723,204,8,2,0.8,5,0,1,4,1,0.8,5
C-7,3146,7,Yes,20180723,204,8,2,0.8,5,0,1,5,0,1,5
C-8,3151,8,Yes,20180723,204,10,0,1,5,0,1,5,0,1,5
C-9,3153,9,Yes,20180723,204,10,0,1,5,0,1,5,0,1,5
C-10,3145,10,Yes,20180723,204,10,0,1,5,0,1,4,1,0.8,5
C-11,3152,11,Yes,20180723,204,10,0,1,5,0,1,5,0,1,5
C-12,3148,12,Yes,20180723,204,10,0,1,5,0,1,5,0,1,5
N-1,3165,13,No,20180730,211,4,6,0.4,4,1,0.8,5,0,1,6
N-2,3159,14,No,20180730,211,10,0,1,4,1,0.8,5,0,1,6
N-3,3166,15,No,20180730,211,5,5,0.5,5,0,1,5,0,1,6
N-4,3149,16,No,20180730,211,9,1,0.9,5,0,1,4,0,1,6
N-5,3162,17,No,20180730,211,2,8,0.2,1,5,0.166666667,1,3,0.25,6
N-6,3155,18,No,20180730,211,5,5,0.5,0,5,0,0,5,0,6
N-7,3157,19,No,20180730,211,10,0,1,5,0,1,5,0,1,6
N-8,3160,20,No,20180730,211,6,4,0.6,5,0,1,5,0,1,6
N-9,3163,21,No,20180730,211,6,4,0.6,5,0,1,4,1,0.8,6
N-10,3164,22,No,20180730,211,8,4,0.666666667,5,0,1,5,0,1,6
N-11,3150,23,No,20180730,211,9,1,0.9,4,1,0.8,5,0,1,6
N-12,3158,24,No,20180730,211,10,0,1,5,0,1,4,1,0.8,6
C-1,3161,1,Yes,20180730,211,10,0,1,5,0,1,5,0,1,6
C-2,3147,2,Yes,20180730,211,10,0,1,5,0,1,5,0,1,6
C-3,3144,3,Yes,20180730,211,3,1,0.75,5,0,1,5,0,1,6
C-4,3156,4,Yes,20180730,211,10,0,1,5,0,1,5,0,1,6
C-5,3154,5,Yes,20180730,211,9,1,0.9,5,0,1,5,0,1,6
C-6,3143,6,Yes,20180730,211,8,2,0.8,5,0,1,4,1,0.8,6
C-7,3146,7,Yes,20180730,211,8,2,0.8,5,0,1,5,0,1,6
C-8,3151,8,Yes,20180730,211,10,0,1,5,0,1,5,0,1,6
C-9,3153,9,Yes,20180730,211,10,0,1,5,0,1,5,0,1,6
C-10,3145,10,Yes,20180730,211,10,0,1,5,0,1,4,1,0.8,6
C-11,3152,11,Yes,20180730,211,10,0,1,5,0,1,5,0,1,6
C-12,3148,12,Yes,20180730,211,10,0,1,5,0,1,5,0,1,6
C-1,3161,1,Yes,20180815,227,10,0,1,5,0,1,5,0,1,7
C-2,3147,2,Yes,20180815,227,10,0,1,5,0,1,5,0,1,7
C-3,3144,3,Yes,20180815,227,2,1,0.666666667,5,0,1,5,0,1,7
C-4,3156,4,Yes,20180815,227,10,0,1,5,0,1,5,0,1,7
C-5,3154,5,Yes,20180815,227,9,1,0.9,5,0,1,5,0,1,7
C-6,3143,6,Yes,20180815,227,8,2,0.8,5,0,1,4,1,0.8,7
C-7,3146,7,Yes,20180815,227,8,2,0.8,5,0,1,5,0,1,7
C-8,3151,8,Yes,20180815,227,10,0,1,5,0,1,5,0,1,7
C-9,3153,9,Yes,20180815,227,10,0,1,5,0,1,5,0,1,7
C-10,3145,10,Yes,20180815,227,10,0,1,5,0,1,4,1,0.8,7
C-11,3152,11,Yes,20180815,227,10,0,1,5,0,1,5,0,1,7
C-12,3148,12,Yes,20180815,227,10,0,1,5,0,1,5,0,1,7
N-1,3165,13,No,20180815,227,4,6,0.4,4,1,0.8,5,0,1,7
N-2,3159,14,No,20180815,227,10,0,1,4,1,0.8,5,0,1,7
N-3,3166,15,No,20180815,227,5,5,0.5,5,0,1,5,0,1,7
N-4,3149,16,No,20180815,227,9,1,0.9,5,0,1,4,0,1,7
N-5,3162,17,No,20180815,227,2,8,0.2,1,5,0.166666667,1,3,0.25,7
N-6,3155,18,No,20180815,227,5,5,0.5,0,5,0,0,5,0,7
N-7,3157,19,No,20180815,227,10,0,1,5,0,1,5,0,1,7
N-8,3160,20,No,20180815,227,6,4,0.6,5,0,1,5,0,1,7
N-9,3163,21,No,20180815,227,6,4,0.6,4,1,0.8,4,1,0.8,7
N-10,3164,22,No,20180815,227,8,4,0.666666667,5,0,1,5,0,1,7
N-11,3150,23,No,20180815,227,9,1,0.9,3,2,0.6,4,1,0.8,7
N-12,3158,24,No,20180815,227,10,0,1,5,0,1,4,1,0.8,7
C-1,3161,1,Yes,20180827,240,9,1,0.9,5,0,1,5,0,1,8
C-2,3147,2,Yes,20180827,240,9,1,0.9,5,0,1,5,0,1,8
C-3,3144,3,Yes,20180827,240,2,1,0.666666667,5,0,1,5,0,1,8
C-4,3156,4,Yes,20180827,240,10,0,1,5,0,1,5,0,1,8
C-5,3154,5,Yes,20180827,240,9,1,0.9,5,0,1,5,0,1,8
C-6,3143,6,Yes,20180827,240,8,2,0.8,5,0,1,4,1,0.8,8
C-7,3146,7,Yes,20180827,240,8,2,0.8,5,0,1,5,0,1,8
C-8,3151,8,Yes,20180827,240,10,0,1,5,0,1,5,0,1,8
C-9,3153,9,Yes,20180827,240,9,0,1,5,0,1,5,0,1,8
C-10,3145,10,Yes,20180827,240,10,0,1,5,0,1,4,1,0.8,8
C-11,3152,11,Yes,20180827,240,10,0,1,5,0,1,5,0,1,8
C-12,3148,12,Yes,20180827,240,8,2,0.8,5,0,1,5,0,1,8
N-1,3165,13,No,20180827,240,4,6,0.4,4,1,0.8,4,1,0.8,8
N-2,3159,14,No,20180827,240,10,0,1,4,1,0.8,5,0,1,8
N-3,3166,15,No,20180827,240,5,5,0.5,5,0,1,5,0,1,8
N-4,3149,16,No,20180827,240,9,1,0.9,5,0,1,4,0,1,8
N-5,3162,17,No,20180827,240,2,8,0.2,1,5,0.166666667,1,3,0.25,8
N-6,3155,18,No,20180827,240,1,9,0.1,0,5,0,0,5,0,8
N-7,3157,19,No,20180827,240,10,0,1,5,0,1,5,0,1,8
N-8,3160,20,No,20180827,240,6,4,0.6,5,0,1,5,0,1,8
N-9,3163,21,No,20180827,240,6,4,0.6,4,1,0.8,4,1,0.8,8
N-10,3164,22,No,20180827,240,8,4,0.666666667,4,1,0.8,5,0,1,8
N-11,3150,23,No,20180827,240,8,2,0.8,3,2,0.6,3,2,0.6,8
N-12,3158,24,No,20180827,240,10,0,1,5,0,1,4,1,0.8,8
C-1,3161,1,Yes,20180906,249,9,1,0.9,5,0,1,5,0,1,9
C-2,3147,2,Yes,20180906,249,9,1,0.9,5,0,1,5,0,1,9
C-3,3144,3,Yes,20180906,249,2,1,0.666666667,5,0,1,5,0,1,9
C-4,3156,4,Yes,20180906,249,10,0,1,5,0,1,5,0,1,9
C-5,3154,5,Yes,20180906,249,8,1,0.888888889,5,0,1,5,0,1,9
C-6,3143,6,Yes,20180906,249,8,2,0.8,5,0,1,4,1,0.8,9
C-7,3146,7,Yes,20180906,249,8,2,0.8,5,0,1,5,0,1,9
C-8,3151,8,Yes,20180906,249,10,0,1,5,0,1,5,0,1,9
C-9,3153,9,Yes,20180906,249,9,0,1,5,0,1,5,0,1,9
C-10,3145,10,Yes,20180906,249,10,0,1,5,0,1,4,1,0.8,9
C-11,3152,11,Yes,20180906,249,10,0,1,5,0,1,5,0,1,9
C-12,3148,12,Yes,20180906,249,8,2,0.8,5,0,1,5,0,1,9
N-1,3165,13,No,20180906,249,4,6,0.4,4,1,0.8,4,1,0.8,9
N-2,3159,14,No,20180906,249,10,0,1,4,1,0.8,5,0,1,9
N-3,3166,15,No,20180906,249,4,6,0.4,5,0,1,5,0,1,9
N-4,3149,16,No,20180906,249,9,1,0.9,5,0,1,4,0,1,9
N-5,3162,17,No,20180906,249,2,8,0.2,1,5,0.166666667,1,3,0.25,9
N-6,3155,18,No,20180906,249,1,9,0.1,0,5,0,0,5,0,9
N-7,3157,19,No,20180906,249,10,0,1,5,0,1,5,0,1,9
N-8,3160,20,No,20180906,249,6,4,0.6,5,0,1,5,0,1,9
N-9,3163,21,No,20180906,249,5,4,0.555555556,4,1,0.8,4,1,0.8,9
N-10,3164,22,No,20180906,249,7,4,0.636363636,4,1,0.8,5,0,1,9
N-11,3150,23,No,20180906,249,7,3,0.7,3,2,0.6,3,2,0.6,9
N-12,3158,24,No,20180906,249,10,0,1,5,0,1,4,1,0.8,9
C-1,3161,1,Yes,20180918,261,9,1,0.9,5,0,1,5,0,1,10
C-2,3147,2,Yes,20180918,261,8,2,0.8,5,0,1,5,0,1,10
C-3,3144,3,Yes,20180918,261,2,1,0.666666667,5,0,1,5,0,1,10
C-4,3156,4,Yes,20180918,261,10,0,1,5,0,1,5,0,1,10
C-5,3154,5,Yes,20180918,261,8,1,0.888888889,5,0,1,5,0,1,10
C-6,3143,6,Yes,20180918,261,7,3,0.7,5,0,1,4,1,0.8,10
C-7,3146,7,Yes,20180918,261,8,2,0.8,4,1,0.8,5,0,1,10
C-8,3151,8,Yes,20180918,261,10,0,1,5,0,1,5,0,1,10
C-9,3153,9,Yes,20180918,261,8,2,0.8,5,0,1,5,0,1,10
C-10,3145,10,Yes,20180918,261,10,0,1,5,0,1,3,2,0.6,10
C-11,3152,11,Yes,20180918,261,9,1,0.9,5,0,1,5,0,1,10
C-12,3148,12,Yes,20180918,261,4,6,0.4,5,0,1,5,0,1,10
N-1,3165,13,No,20180918,261,4,6,0.4,4,1,0.8,4,1,0.8,10
N-2,3159,14,No,20180918,261,8,2,0.8,4,1,0.8,5,0,1,10
N-3,3166,15,No,20180918,261,4,6,0.4,5,0,1,5,0,1,10
N-4,3149,16,No,20180918,261,9,1,0.9,5,0,1,4,0,1,10
N-5,3162,17,No,20180918,261,2,8,0.2,1,5,0.166666667,1,3,0.25,10
N-6,3155,18,No,20180918,261,0,10,0,0,5,0,0,5,0,10
N-7,3157,19,No,20180918,261,7,3,0.7,5,0,1,5,0,1,10
N-8,3160,20,No,20180918,261,4,6,0.4,5,0,1,5,0,1,10
N-9,3163,21,No,20180918,261,4,5,0.444444444,3,2,0.6,3,2,0.6,10
N-10,3164,22,No,20180918,261,2,9,0.181818182,4,1,0.8,5,0,1,10
N-11,3150,23,No,20180918,261,6,4,0.6,0,5,0,3,2,0.6,10
N-12,3158,24,No,20180918,261,10,0,1,5,0,1,4,1,0.8,10
C-1,3161,1,Yes,20180927,270,8,2,0.8,5,0,1,5,0,1,11
C-2,3147,2,Yes,20180927,270,7,3,0.7,5,0,1,5,0,1,11
C-3,3144,3,Yes,20180927,270,2,1,0.666666667,5,0,1,5,0,1,11
C-4,3156,4,Yes,20180927,270,9,1,0.9,5,0,1,5,0,1,11
C-5,3154,5,Yes,20180927,270,7,2,0.777777778,5,0,1,5,0,1,11
C-6,3143,6,Yes,20180927,270,7,3,0.7,5,0,1,4,1,0.8,11
C-7,3146,7,Yes,20180927,270,6,4,0.6,4,1,0.8,5,0,1,11
C-8,3151,8,Yes,20180927,270,7,3,0.7,5,0,1,5,0,1,11
C-9,3153,9,Yes,20180927,270,6,4,0.6,5,0,1,5,0,1,11
C-10,3145,10,Yes,20180927,270,8,2,0.8,5,0,1,3,2,0.6,11
C-11,3152,11,Yes,20180927,270,8,2,0.8,5,0,1,5,0,1,11
C-12,3148,12,Yes,20180927,270,4,6,0.4,5,0,1,5,0,1,11
N-1,3165,13,No,20180927,270,3,7,0.3,4,1,0.8,4,1,0.8,11
N-2,3159,14,No,20180927,270,7,3,0.7,4,1,0.8,5,0,1,11
N-3,3166,15,No,20180927,270,2,8,0.2,5,0,1,5,0,1,11
N-4,3149,16,No,20180927,270,8,2,0.8,5,0,1,4,0,1,11
N-5,3162,17,No,20180927,270,1,9,0.1,1,5,0.166666667,1,3,0.25,11
N-6,3155,18,No,20180927,270,0,10,0,0,5,0,0,5,0,11
N-7,3157,19,No,20180927,270,5,5,0.5,5,0,1,5,0,1,11
N-8,3160,20,No,20180927,270,1,9,0.1,5,0,1,5,0,1,11
N-9,3163,21,No,20180927,270,4,5,0.444444444,3,2,0.6,3,2,0.6,11
N-10,3164,22,No,20180927,270,2,9,0.181818182,3,2,0.6,5,0,1,11
N-11,3150,23,No,20180927,270,4,6,0.4,0,5,0,1,4,0.2,11
N-12,3158,24,No,20180927,270,10,0,1,5,0,1,4,1,0.8,11
C-1,3161,1,Yes,20181009,282,8,2,0.8,5,0,1,5,0,1,12
C-2,3147,2,Yes,20181009,282,7,3,0.7,5,0,1,5,0,1,12
C-3,3144,3,Yes,20181009,282,2,1,0.666666667,5,0,1,5,0,1,12
C-4,3156,4,Yes,20181009,282,9,1,0.9,5,0,1,5,0,1,12
C-5,3154,5,Yes,20181009,282,6,3,0.666666667,5,0,1,5,0,1,12
C-6,3143,6,Yes,20181009,282,6,4,0.6,5,0,1,4,1,0.8,12
C-7,3146,7,Yes,20181009,282,3,7,0.3,4,1,0.8,5,0,1,12
C-8,3151,8,Yes,20181009,282,3,7,0.3,5,0,1,5,0,1,12
C-9,3153,9,Yes,20181009,282,3,7,0.3,5,0,1,5,0,1,12
C-10,3145,10,Yes,20181009,282,6,4,0.6,5,0,1,3,2,0.6,12
C-11,3152,11,Yes,20181009,282,6,4,0.6,5,0,1,5,0,1,12
C-12,3148,12,Yes,20181009,282,2,8,0.2,5,0,1,5,0,1,12
N-1,3165,13,No,20181009,282,1,9,0.1,4,1,0.8,4,1,0.8,12
N-2,3159,14,No,20181009,282,5,5,0.5,4,1,0.8,5,0,1,12
N-3,3166,15,No,20181009,282,1,9,0.1,5,0,1,5,0,1,12
N-4,3149,16,No,20181009,282,5,5,0.5,5,0,1,4,0,1,12
N-5,3162,17,No,20181009,282,1,9,0.1,1,5,0.166666667,1,3,0.25,12
N-6,3155,18,No,20181009,282,0,10,0,0,5,0,0,5,0,12
N-7,3157,19,No,20181009,282,3,7,0.3,2,3,0.4,5,0,1,12
N-8,3160,20,No,20181009,282,1,9,0.1,5,0,1,5,0,1,12
N-9,3163,21,No,20181009,282,2,7,0.222222222,3,2,0.6,3,2,0.6,12
N-10,3164,22,No,20181009,282,0,11,0,3,2,0.6,5,0,1,12
N-11,3150,23,No,20181009,282,1,9,0.1,0,5,0,1,4,0.2,12
N-12,3158,24,No,20181009,282,9,0,1,5,0,1,4,1,0.8,12
C-1,3161,1,Yes,20181025,298,5,5,0.5,5,0,1,5,0,1,13
C-2,3147,2,Yes,20181025,298,6,4,0.6,5,0,1,5,0,1,13
C-3,3144,3,Yes,20181025,298,2,1,0.666666667,5,0,1,5,0,1,13
C-4,3156,4,Yes,20181025,298,6,4,0.6,5,0,1,5,0,1,13
C-5,3154,5,Yes,20181025,298,5,4,0.555555556,5,0,1,5,0,1,13
C-6,3143,6,Yes,20181025,298,1,9,0.1,5,0,1,4,1,0.8,13
C-7,3146,7,Yes,20181025,298,2,8,0.2,4,1,0.8,5,0,1,13
C-8,3151,8,Yes,20181025,298,2,8,0.2,5,0,1,5,0,1,13
C-9,3153,9,Yes,20181025,298,3,7,0.3,5,0,1,5,0,1,13
C-10,3145,10,Yes,20181025,298,2,8,0.2,5,0,1,2,3,0.4,13
C-11,3152,11,Yes,20181025,298,2,8,0.2,5,0,1,5,0,1,13
C-12,3148,12,Yes,20181025,298,2,8,0.2,5,0,1,5,0,1,13
N-1,3165,13,No,20181025,298,1,9,0.1,3,2,0.6,4,1,0.8,13
N-2,3159,14,No,20181025,298,1,9,0.1,3,2,0.6,4,1,0.8,13
N-3,3166,15,No,20181025,298,0,10,0,5,0,1,5,0,1,13
N-4,3149,16,No,20181025,298,2,8,0.2,5,0,1,4,0,1,13
N-5,3162,17,No,20181025,298,1,9,0.1,1,5,0.166666667,0,4,0,13
N-6,3155,18,No,20181025,298,0,10,0,0,5,0,0,5,0,13
N-7,3157,19,No,20181025,298,1,9,0.1,0,5,0,5,0,1,13
N-8,3160,20,No,20181025,298,0,10,0,5,0,1,5,0,1,13
N-9,3163,21,No,20181025,298,1,8,0.111111111,3,2,0.6,3,2,0.6,13
N-10,3164,22,No,20181025,298,0,11,0,2,3,0.4,3,2,0.6,13
N-11,3150,23,No,20181025,298,0,10,0,0,5,0,1,4,0.2,13
N-12,3158,24,No,20181025,298,5,4,0.555555556,5,0,1,4,1,0.8,13
C-1,3161,1,Yes,20181114,318,2,8,0.2,5,0,1,5,0,1,14
C-2,3147,2,Yes,20181114,318,5,5,0.5,5,0,1,5,0,1,14
C-3,3144,3,Yes,20181114,318,1,2,0.333333333,5,0,1,5,0,1,14
C-4,3156,4,Yes,20181114,318,2,8,0.2,5,0,1,4,1,0.8,14
C-5,3154,5,Yes,20181114,318,4,6,0.4,5,0,1,5,0,1,14
C-6,3143,6,Yes,20181114,318,1,9,0.1,5,0,1,3,2,0.6,14
C-7,3146,7,Yes,20181114,318,1,9,0.1,4,1,0.8,5,0,1,14
C-8,3151,8,Yes,20181114,318,0,10,0,5,0,1,5,0,1,14
C-9,3153,9,Yes,20181114,318,3,7,0.3,5,0,1,5,0,1,14
C-10,3145,10,Yes,20181114,318,2,8,0.2,5,0,1,2,3,0.4,14
C-11,3152,11,Yes,20181114,318,1,9,0.1,5,0,1,5,0,1,14
C-12,3148,12,Yes,20181114,318,2,8,0.2,5,0,1,5,0,1,14
N-1,3165,13,No,20181114,318,0,10,0,2,3,0.4,4,1,0.8,14
N-2,3159,14,No,20181114,318,0,10,0,1,4,0.2,3,2,0.6,14
N-3,3166,15,No,20181114,318,0,10,0,3,2,0.6,4,1,0.8,14
N-4,3149,16,No,20181114,318,2,8,0.2,5,0,1,4,0,1,14
N-5,3162,17,No,20181114,318,1,9,0.1,0,6,0,1,3,0.25,14
N-6,3155,18,No,20181114,318,0,10,0,0,5,0,0,5,0,14
N-7,3157,19,No,20181114,318,1,9,0.1,0,5,0,3,2,0.6,14
N-8,3160,20,No,20181114,318,0,10,0,5,0,1,4,1,0.8,14
N-9,3163,21,No,20181114,318,0,9,0,2,3,0.4,2,3,0.4,14
N-10,3164,22,No,20181114,318,0,11,0,1,4,0.2,2,3,0.4,14
N-11,3150,23,No,20181114,318,0,10,0,0,5,0,0,5,0,14
N-12,3158,24,No,20181114,318,3,6,0.333333333,5,0,1,4,1,0.8,14
C-1,3161,1,Yes,20181127,331,2,8,0.2,5,0,1,5,0,1,15
C-2,3147,2,Yes,20181127,331,3,7,0.3,5,0,1,5,0,1,15
C-3,3144,3,Yes,20181127,331,0,3,0,5,0,1,4,1,0.8,15
C-4,3156,4,Yes,20181127,331,2,8,0.2,5,0,1,4,1,0.8,15
C-5,3154,5,Yes,20181127,331,0,10,0,5,0,1,5,0,1,15
C-6,3143,6,Yes,20181127,331,0,10,0,4,1,0.8,2,3,0.4,15
C-7,3146,7,Yes,20181127,331,0,10,0,4,1,0.8,5,0,1,15
