installation,plot_id,location,visit_date,collection_method,species,life_stage,count,visit_year,site_code,plot_id_code,location_code,collection_method_code,species_code,life_stage_code,sample_id,species_name
avonpark,avonpark a2,nw,2018-07-21,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark a2,ne,2018-07-21,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark a2,sw,2018-07-21,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark a2,se,2018-07-21,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark f1,nw,2018-07-21,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark f1,ne,2018-07-21,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark f1,sw,2018-07-21,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark f1,se,2018-07-21,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark h1,nw,2018-07-21,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark h1,ne,2018-07-21,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark h1,sw,2018-07-21,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark h1,se,2018-07-21,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
benning,benning b1,nw,2018-07-26,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
benning,benning b1,ne,2018-07-26,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
benning,benning b1,sw,2018-07-26,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
benning,benning b1,se,2018-07-26,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
benning,benning f1,nw,2018-07-26,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
benning,benning f1,ne,2018-07-26,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
benning,benning f1,sw,2018-07-26,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
benning,benning f1,se,2018-07-26,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
benning,benning h1,ne,2018-07-28,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
benning,benning h1,nw,2018-07-28,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
benning,benning h1,se,2018-07-28,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
benning,benning h1,sw,2018-07-28,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
benning,benning j1,ne,2018-07-28,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
benning,benning j1,nw,2018-07-28,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
benning,benning j1,se,2018-07-28,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
benning,benning j1,sw,2018-07-28,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin b2,nw,2018-08-05,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin b2,ne,2018-08-05,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin b2,sw,2018-08-05,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin b2,se,2018-08-05,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby a1,nw,2018-08-13,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby a1,ne,2018-08-13,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby a1,sw,2018-08-13,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby a1,se,2018-08-13,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby a2,nw,2018-08-13,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby a2,ne,2018-08-13,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby a2,sw,2018-08-13,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby a2,se,2018-08-13,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby e1,nw,2018-08-13,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby e1,ne,2018-08-13,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby e1,sw,2018-08-13,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby e1,se,2018-08-13,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby i1,nw,2018-08-13,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby i1,ne,2018-08-13,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby i1,sw,2018-08-13,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby i1,se,2018-08-13,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby b2,nw,2018-08-16,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby b2,ne,2018-08-16,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby b2,sw,2018-08-16,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby b2,se,2018-08-16,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
gordon,gordon c1,nw,2018-08-23,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
gordon,gordon c1,ne,2018-08-23,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
gordon,gordon c1,sw,2018-08-23,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
gordon,gordon c1,se,2018-08-23,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
gordon,gordon b1,nw,2018-08-23,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
gordon,gordon b1,ne,2018-08-23,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
gordon,gordon b1,sw,2018-08-23,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
gordon,gordon b1,se,2018-08-23,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
gordon,gordon a1,nw,2018-08-23,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
gordon,gordon a1,ne,2018-08-23,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
gordon,gordon a1,sw,2018-08-23,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
gordon,gordon a1,se,2018-08-23,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
blanding,blanding c1,extra,2017-06-07,Whalen,Am. am,nymph,1,2017,B,C,X,W,A,N,BCXWAN,Amblyomma americanum
blanding,blanding c1,extra,2017-06-07,Whalen,De. var,adult,1,2017,B,C,X,W,V,A,BCXWVA,Dermacentor variabilis
blanding,blanding a1,extra,2017-06-09,Drag,Am. am,adult,2,2017,B,A1,X,D,A,A,BA1XDAA,Amblyomma americanum
blanding,blanding a1,east,2017-06-10,trap,Am. am,adult,1,2017,B,A1,E,T,A,A,BA1ETAA,Amblyomma americanum
blanding,blanding a1,extra,2017-06-10,Whalen,Am. am,adult,1,2017,B,A1,X,W,A,A,BA1XWAA,Amblyomma americanum
blanding,blanding a1,extra,2017-06-10,Whalen,Am. am,nymph,4,2017,B,A1,X,W,A,N,BA1XWAN,Amblyomma americanum
blanding,blanding d1,center,2017-06-10,trap,Am. am,adult,1,2017,B,D1,C,T,A,A,BD1CTAA,Amblyomma americanum
blanding,blanding d1,east,2017-06-10,trap,Am. am,adult,1,2017,B,D1,E,T,A,A,BD1ETAA,Amblyomma americanum
blanding,blanding d1,west,2017-06-10,trap,Am. am,adult,1,2017,B,D1,W,T,A,A,BD1WTAA,Amblyomma americanum
blanding,blanding e1,extra,2017-06-14,Whalen,Am. am,adult,3,2017,B,E1,X,W,A,A,BE1XWAA,Amblyomma americanum
blanding,blanding e1,extra,2017-06-14,Whalen,De. var,adult,1,2017,B,E1,X,W,V,A,BE1XWVA,Dermacentor variabilis
blanding,blanding h1,extra,2017-06-14,Whalen,Am. am,adult,3,2017,B,H1,X,W,A,A,BH1XWAA,Amblyomma americanum
blanding,blanding h1,extra,2017-06-14,Whalen,Am. am,nymph,6,2017,B,H1,X,W,A,N,BH1XWAN,Amblyomma americanum
blanding,blanding h1,extra,2017-06-14,Whalen,De. var,adult,1,2017,B,H1,X,W,V,A,BH1XWVA,Dermacentor variabilis
blanding,blanding e1,center,2017-06-15,trap,Am. am,adult,1,2017,B,E1,C,T,A,A,BE1CTAA,Amblyomma americanum
blanding,blanding e1,east,2017-06-15,trap,Am. am,adult,1,2017,B,E1,E,T,A,A,BE1ETAA,Amblyomma americanum
blanding,blanding g1,center,2017-06-16,trap,Am. am,adult,1,2017,B,G1,C,T,A,A,BG1CTAA,Amblyomma americanum
blanding,blanding g1,south,2017-06-16,trap,Am. mac,adult,1,2017,B,G1,S,T,M,A,BG1STMA,Amblyomma maculatum
blanding,blanding g1,extra,2017-06-16,Whalen,Am. am,adult,5,2017,B,G1,X,W,A,A,BG1XWAA,Amblyomma americanum
blanding,blanding h1,extra,2017-06-16,Whalen,Am. am,nymph,1,2017,B,G1,X,W,A,N,BG1XWAN,Amblyomma americanum
blanding,blanding h1,center,2017-06-16,trap,Am. am,adult,12,2017,B,H1,C,T,A,A,BH1CTAA,Amblyomma americanum
blanding,blanding h1,center,2017-06-16,trap,Am. am,nymph,16,2017,B,H1,C,T,A,N,BH1CTAN,Amblyomma americanum
blanding,blanding h1,east,2017-06-16,trap,Am. am,adult,2,2017,B,H1,E,T,A,A,BH1ETAA,Amblyomma americanum
blanding,blanding h1,north,2017-06-16,trap,Am. am,adult,2,2017,B,H1,N,T,A,A,BH1NTAA,Amblyomma americanum
blanding,blanding h1,south,2017-06-16,trap,Am. am,adult,8,2017,B,H1,S,T,A,A,BH1STAA,Amblyomma americanum
blanding,blanding h1,south,2017-06-16,trap,Am. am,nymph,4,2017,B,H1,S,T,A,N,BH1STAN,Amblyomma americanum
blanding,blanding h1,west,2017-06-16,trap,Am. am,adult,1,2017,B,H1,W,T,A,A,BH1WTAA,Amblyomma americanum
blanding,blanding h1,west,2017-06-16,trap,Am. am,nymph,1,2017,B,H1,W,T,A,N,BH1WTAN,Amblyomma americanum
blanding,blanding h1,extra,2017-06-20,Whalen,Am. am,adult,3,2017,B,H1,X,H,A,A,BH1XHAA,Amblyomma americanum
blanding,blanding h1,extra,2017-06-20,Whalen,Am. am,nymph,29,2017,B,H1,X,H,A,N,BH1XHAN,Amblyomma americanum
blanding,blanding f1,center,2017-06-23,trap,Am. am,adult,6,2017,B,F1,C,T,A,A,BF1CTAA,Amblyomma americanum
blanding,blanding f1,center,2017-06-23,trap,Am. am,nymph,2,2017,B,F1,C,T,A,N,BF1CTAN,Amblyomma americanum
blanding,blanding f1,east,2017-06-23,trap,Am. am,adult,2,2017,B,F1,E,T,A,A,BF1ETAA,Amblyomma americanum
blanding,blanding f1,east,2017-06-23,trap,Am. am,nymph,6,2017,B,F1,E,T,A,N,BF1ETAN,Amblyomma americanum
blanding,blanding f1,north,2017-06-23,trap,Am. am,adult,5,2017,B,F1,N,T,A,A,BF1NTAA,Amblyomma americanum
blanding,blanding f1,south,2017-06-23,trap,Am. am,adult,1,2017,B,F1,S,T,A,A,BF1STAA,Amblyomma americanum
blanding,blanding f1,west,2017-06-23,trap,Am. am,adult,2,2017,B,F1,W,T,A,A,BF1WTAA,Amblyomma americanum
blanding,blanding f1,extra,2017-06-23,Whalen,Am. am,adult,6,2017,B,F1,X,W,A,A,BF1XWAA,Amblyomma americanum
blanding,blanding f1,extra,2017-06-23,Whalen,Am. am,nymph,9,2017,B,F1,X,W,A,N,BF1XWAN,Amblyomma americanum
blanding,blanding h1,extra,2017-06-23,Whalen,Am. am,nymph,7,2017,B,H1,X,L,A,N,BH1XLAN,Amblyomma americanum
blanding,blanding g1,east,2017-06-24,trap,Am. am,adult,4,2017,B,G1,E,T,A,A,BG1ETAA,Amblyomma americanum
blanding,blanding g1,north,2017-06-24,trap,Am. am,nymph,1,2017,B,G1,N,T,A,N,BG1NTAN,Amblyomma americanum
blanding,blanding h1,center,2017-06-24,trap,Am. am,adult,8,2017,B,H1,C,R,A,A,BH1CRAA,Amblyomma americanum
blanding,blanding h1,center,2017-06-24,trap,Am. am,nymph,74,2017,B,H1,C,R,A,N,BH1CRAN,Amblyomma americanum
blanding,blanding h1,center,2017-06-24,trap,De. var,adult,1,2017,B,H1,C,R,V,A,BH1CRVA,Dermacentor variabilis
blanding,blanding h1,south,2017-06-24,trap,Am. am,adult,3,2017,B,H1,S,R,A,A,BH1SRAA,Amblyomma americanum
blanding,blanding h1,south,2017-06-24,trap,Am. am,nymph,22,2017,B,H1,S,R,A,N,BH1SRAN,Amblyomma americanum
blanding,blanding h1,west,2017-06-24,trap,Am. am,adult,2,2017,B,H1,W,R,A,A,BH1WRAA,Amblyomma americanum
blanding,blanding h1,west,2017-06-24,trap,Am. am,nymph,3,2017,B,H1,W,R,A,N,BH1WRAN,Amblyomma americanum
avonpark,avonpark d1,west,2017-06-30,trap,De. var,adult,2,2017,NA,NA,NA,NA,NA,NA,NA,Dermacentor variabilis
tyndall,tyndall extra,extra,2017-07-17,Whalen,Am. mac,adult,1,2017,T,0,X,W,M,A,T0XWMA,Amblyomma maculatum
tyndall,tyndall extra,extra,2017-07-17,Whalen,De. var,adult,2,2017,T,0,X,W,V,A,T0XWVA,Dermacentor variabilis
tyndall,tyndall extra,extra,2017-07-18,Whalen,Am. mac,adult,2,2017,T,1,X,W,M,A,T1XWMA,Amblyomma maculatum
tyndall,tyndall b2,north,2017-07-19,trap,Am. am,adult,3,2017,T,B2,N,T,A,A,TB2NTAA,Amblyomma americanum
tyndall,tyndall b2,south,2017-07-19,trap,Am. am,adult,1,2017,T,B2,S,T,A,A,TB2STAA,Amblyomma americanum
tyndall,tyndall b2,extra,2017-07-19,Whalen,Am. am,adult,1,2017,T,B2,X,W,A,A,TB2XWAA,Amblyomma americanum
tyndall,tyndall extra,extra,2017-07-20,Whalen,Am. am,adult,2,2017,T,2,X,W,A,A,T2XWAA,Amblyomma americanum
tyndall,tyndall extra,extra,2017-07-20,Whalen,Am. am,nymph,1,2017,T,2,X,W,A,N,T2XWAN,Amblyomma americanum
tyndall,tyndall h1,extra,2017-07-20,Whalen,Am. am,adult,1,2017,T,H1,X,W,A,A,TH1XWAA,Amblyomma americanum
tyndall,tyndall h1,extra,2017-07-20,Whalen,Am. am,nymph,1,2017,T,H1,X,W,A,N,TH1XWAN,Amblyomma americanum
tyndall,tyndall h1,extra,2017-07-20,Whalen,De. var,adult,1,2017,T,H1,X,W,V,A,TH1XWVA,Dermacentor variabilis
tyndall,tyndall d1,east,2017-07-21,trap,Am. am,nymph,2,2017,T,D1,E,T,A,N,TD1ETAN,Amblyomma americanum
tyndall,tyndall d1,north,2017-07-21,trap,Am. am,adult,1,2017,T,D1,N,T,A,A,TD1NTAA,Amblyomma americanum
tyndall,tyndall d1,north,2017-07-21,trap,Am. am,nymph,1,2017,T,D1,N,T,A,N,TD1NTAN,Amblyomma americanum
tyndall,tyndall d1,north,2017-07-21,trap,Am. mac,adult,1,2017,T,D1,N,T,M,A,TD1NTMA,Amblyomma maculatum
tyndall,tyndall d1,west,2017-07-21,trap,Am. am,adult,1,2017,T,D1,W,T,A,A,TD1WTAA,Amblyomma americanum
tyndall,tyndall d1,west,2017-07-21,trap,Am. am,nymph,6,2017,T,D1,W,T,A,N,TD1WTAN,Amblyomma americanum
tyndall,tyndall d1,extra,2017-07-21,Whalen,Am. am,nymph,2,2017,T,D1,X,W,A,N,TD1XWAN,Amblyomma americanum
tyndall,tyndall d1,extra,2017-07-21,Whalen,Am. mac,adult,1,2017,T,D1,X,W,M,A,TD1XWMA,Amblyomma maculatum
eglin,eglin d1,center,2017-08-17,trap,Am. am,adult,1,2017,E,D1,C,T,A,A,ED1CTAA,Amblyomma americanum
eglin,eglin d1,center,2017-08-17,trap,Am. am,nymph,2,2017,E,D1,C,T,A,N,ED1CTAN,Amblyomma americanum
eglin,eglin d1,east,2017-08-17,trap,Am. am,adult,1,2017,E,D1,E,T,A,A,ED1ETAA,Amblyomma americanum
eglin,eglin d1,east,2017-08-17,trap,Am. am,nymph,1,2017,E,D1,E,T,A,N,ED1ETAN,Amblyomma americanum
eglin,eglin d1,west,2017-08-17,trap,Am. am,adult,1,2017,E,D1,W,T,A,A,ED1WTAA,Amblyomma americanum
eglin,eglin d1,extra,2017-08-17,Whalen,Am. am,nymph,5,2017,E,D1,X,W,A,N,ED1XWAN,Amblyomma americanum
eglin,eglin h1,east,2017-08-17,trap,Am. am,nymph,9,2017,E,H1,E,T,A,N,EH1ETAN,Amblyomma americanum
eglin,eglin h1,north,2017-08-17,trap,Am. am,nymph,52,2017,E,H1,N,T,A,N,EH1NTAN,Amblyomma americanum
eglin,eglin h1,south,2017-08-17,trap,Am. am,nymph,1,2017,E,H1,S,T,A,N,EH1STAN,Amblyomma americanum
eglin,eglin h1,west,2017-08-17,trap,Am. am,adult,1,2017,E,H1,W,T,A,A,EH1WTAA,Amblyomma americanum
eglin,eglin h1,west,2017-08-17,trap,Am. am,nymph,1,2017,E,H1,W,T,A,N,EH1WTAN,Amblyomma americanum
eglin,eglin h1,west,2017-08-17,trap,De. var,adult,1,2017,E,H1,W,T,V,A,EH1WTVA,Dermacentor variabilis
eglin,eglin h1,extra,2017-08-17,Whalen,Am. am,nymph,5,2017,E,H1,X,W,A,N,EH1XWAN,Amblyomma americanum
eglin,eglin p1,south,2017-08-19,trap,De. var,adult,1,2017,E,P1,S,T,V,A,EP1STVA,Dermacentor variabilis
moody,moody extra,extra,2017-09-01,trap,Am. am,nymph,7,2017,M,X,X,T,A,N,MXXTAN,Amblyomma americanum
