"record_id","stem_id","installation","plot_id","date","cluster","tag","species","dbh","health","canopy","distance","azimuth","height","char","notes","scientific_name","functional_group","Genus","Species","Status","functional_group__1"
34,34,"blanding","d1",20170621,33,"1209","QULA",10.6,1,"i",11.2,27,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
35,35,"blanding","d1",20170621,34,"1205","QULA",7.2,2,"i",10.6,37,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
36,36,"blanding","d1",20170621,35,"1278","QULA",3.4,1,"u",7,46,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
37,37,"blanding","d1",20170621,36,"1212","QUGE",7.3,1,"i",6.7,48,NA,NA,NA,"Quercus geminata","tree","Quercus","geminata","native","tree"
38,38,"blanding","d1",20170621,37,"1206","QULA",15.4,2,"c",5.6,55,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
39,39,"blanding","d1",20170621,38,"1208","QULA",4.8,1,"u",9.7,54,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
40,40,"blanding","d1",20170621,39,"1203","QULA",10.1,1,"c",5.9,65,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
41,41,"blanding","d1",20170621,40,"1202","QULA",6.1,1,"i",9.6,62,6.1,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
42,42,"blanding","d1",20170621,41,"1207","QULA",5,1,"i",9.35,67,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
43,43,"blanding","d1",20170621,42,"1204","QULA",4.8,1,"u",10.3,78,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
44,44,"blanding","d1",20170621,43,"1293","QULA",20.1,1,"e",11.2,89,9.9,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
45,45,"blanding","d1",20170621,44,"1292","QULA",5.2,2,"u",11.3,90,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
46,46,"blanding","d1",20170621,45,"1295","QULA",6.4,1,"i",10.8,98,5.4,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
47,47,"blanding","d1",20170621,46,"1300","QULA",5.3,1,"i",12.2,114,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
48,48,"blanding","d1",20170621,47,"1298","QULA",23.7,1,"e",4.5,111,10.6,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
49,49,"blanding","d1",20170621,48,"1299","QULA",13.5,1,"c",4.3,134,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
50,50,"blanding","d1",20170621,49,"1291","QULA",4,1,"u",6.1,132,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
51,51,"blanding","d1",20170621,50,"1296","QULA",6.3,1,"i",8.2,133,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
52,52,"blanding","d1",20170621,51,"1294","QUGE",9.4,1,"c",12.1,134,NA,NA,NA,"Quercus geminata","tree","Quercus","geminata","native","tree"
53,53,"blanding","d1",20170621,52,"1275","QUGE",6.8,2,"i",10.2,157,NA,NA,NA,"Quercus geminata","tree","Quercus","geminata","native","tree"
54,54,"blanding","d1",20170621,53,"1290","QULA",11.8,2,"i",2.9,163,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
55,55,"blanding","d1",20170621,54,"1289","QULA",28.7,2,"c",4,183,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
56,56,"blanding","d1",20170621,55,"1274","QULA",3.6,1,"u",6,171,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
57,57,"blanding","d1",20170621,56,"1297","QULA",4,1,"u",8.6,176,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
58,58,"blanding","d1",20170621,57,"1288","QUGE",5.9,1,"i",9.9,180,NA,NA,NA,"Quercus geminata","tree","Quercus","geminata","native","tree"
59,59,"blanding","d1",20170621,58,"1287","QUGE",6.7,1,"i",10.9,177,NA,NA,NA,"Quercus geminata","tree","Quercus","geminata","native","tree"
60,60,"blanding","d1",20170621,59,"1276","QUGE",6.6,1,"i",11.9,174,NA,NA,NA,"Quercus geminata","tree","Quercus","geminata","native","tree"
61,61,"blanding","d1",20170621,60,"1277","QUGE",8.3,1,"i",12.1,168,NA,NA,NA,"Quercus geminata","tree","Quercus","geminata","native","tree"
62,62,"blanding","d1",20170621,61,"1214","QULA",9.1,3,"u",7.2,210,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
63,63,"blanding","d1",20170621,62,"1215","QULA",13.5,1,"c",8.9,216,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
64,64,"blanding","d1",20170621,63,"1081","QULA",7.3,1,"i",8.6,218,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
65,65,"blanding","d1",20170621,64,"1039","QULA",13.6,1,"c",8.2,219,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
66,66,"blanding","d1",20170621,65,"1197","QULA",11,2,"i",3.7,259,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
67,67,"blanding","d1",20170621,66,"1273","QULA",12.8,1,"c",8.5,250,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
68,68,"blanding","d1",20170621,67,"119","QULA",14.8,0,"i",11.1,258,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
69,69,"blanding","d1",20170621,68,"1219","QULA",6.9,2,"i",11.3,258,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
70,70,"blanding","d1",20170621,69,"1220","QULA",13.6,1,"c",12.2,262,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
71,71,"blanding","d1",20170621,70,"1218","QULA",4.4,1,"u",12.3,267,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
72,72,"blanding","d1",20170621,71,"1216","QULA",13.9,1,"c",10.5,291,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
73,73,"blanding","d1",20170621,72,"1196","QULA",22.8,1,"d",1.9,284,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
74,74,"blanding","d1",20170621,73,"1199","QULA",5.1,1,"u",3.8,302,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
75,75,"blanding","d1",20170621,74,"1286","QULA",4.5,1,"u",8,294,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
76,76,"blanding","d1",20170621,75,"1280","QULA",4.8,1,"u",7.6,315,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
77,77,"blanding","d1",20170621,76,"1217","QULA",7.3,1,"u",9.9,307,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
78,78,"blanding","d1",20170621,77,"1285","QULA",14.9,1,"c",12.2,313,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
79,79,"blanding","d1",20170621,78,"1279","QULA",5.5,1,"u",11,328,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
80,80,"blanding","f1",20170621,79,"1234","QULA",3.7,1,"u",10.6,131,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
81,81,"blanding","f1",20170621,80,"1281","PICL",23.6,1,"d",10.4,115,NA,NA,NA,"Pinus clausa","tree","Pinus","clausa","native","tree"
82,82,"blanding","f1",20170621,81,"1235","QULA",5.3,3,"u",8.7,118,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
83,83,"blanding","f1",20170621,82,"1223","QULA",5,2,"u",4,119,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
84,84,"blanding","f1",20170621,83,"1231","QULA",6.4,2,"u",4.1,119,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
85,85,"blanding","f1",20170621,84,"1232","PICL",13.7,1,"c",7.1,110,NA,NA,NA,"Pinus clausa","tree","Pinus","clausa","native","tree"
86,86,"blanding","f1",20170621,85,"1228","QUIN",5.6,3,"i",2.7,161,NA,NA,NA,"Quercus incana","tree","Quercus","incana","native","tree"
87,87,"blanding","f1",20170621,86,"1222","PIPA",6.5,1,"i",1.4,198,5.7,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
88,88,"blanding","f1",20170621,87,"1224","QUHE",5.7,1,"u",7.7,83,NA,NA,NA,"Quercus hemisphaerica","tree","Quercus","hemisphaerica","native","tree"
89,89,"blanding","f1",20170621,87,"1236","QUHE",6.9,1,"u",7.8,83,NA,NA,NA,"Quercus hemisphaerica","tree","Quercus","hemisphaerica","native","tree"
90,90,"blanding","f1",20170621,88,"1230","PICL",26.3,1,"d",10.1,82,NA,NA,NA,"Pinus clausa","tree","Pinus","clausa","native","tree"
91,91,"blanding","f1",20170621,89,"1233","QULA",4.3,1,"u",7.1,79,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
92,92,"blanding","f1",20170621,90,"1239","QULA",5.1,1,"u",7.5,76,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
93,93,"blanding","f1",20170621,91,"1241","QULA",5.2,1,"u",7.4,75,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
94,94,"blanding","f1",20170621,92,"1240","QULA",4.1,1,"u",7.2,72,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
95,95,"blanding","f1",20170621,93,"1242","QUIN",4.4,3,"u",6.3,73,NA,NA,NA,"Quercus incana","tree","Quercus","incana","native","tree"
96,96,"blanding","f1",20170621,94,"1243","QULA",3.2,2,"u",12.2,75,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
97,97,"blanding","f1",20170621,95,"1244","QULA",5.2,1,"i",12.1,66,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
98,98,"blanding","f1",20170621,96,"1272","QUIN",4.4,1,"i",10,64,NA,NA,NA,"Quercus incana","tree","Quercus","incana","native","tree"
99,99,"blanding","f1",20170622,97,"1261","QULA",3,1,"u",2,10,3.8,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
100,100,"blanding","f1",20170622,98,"1227","QULA",3.7,1,"i",6.9,133,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
101,101,"blanding","f1",20170622,99,"1229","QULA",5.4,1,"i",7.1,132,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
102,102,"blanding","f1",20170622,100,"1237","QULA",4.9,1,"i",10.5,146,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
103,103,"blanding","f1",20170622,101,"1256","QUIN",3.1,1,"u",10.2,161,NA,NA,NA,"Quercus incana","tree","Quercus","incana","native","tree"
104,104,"blanding","f1",20170622,102,"1238","PIPA",8.2,1,"i",6.7,155,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
105,105,"blanding","f1",20170622,103,"1226","PIPA",17.5,1,"d",5.3,161,11.7,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
106,106,"blanding","f1",20170622,104,"1225","QULA",6.9,2,"i",7.3,171,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
107,107,"blanding","f1",20170622,105,"1251","QULA",4.7,2,"u",9.3,173,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
108,108,"blanding","f1",20170622,106,"1221","QULA",4.3,2,"u",9.2,169,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
109,109,"blanding","f1",20170622,107,"1266","QULA",6.7,1,"i",10.7,167,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
110,110,"blanding","f1",20170622,108,"1258","QULA",6.9,1,"i",10.8,168,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
111,111,"blanding","f1",20170622,109,"1250","QUIN",4.7,2,"u",6.3,178,NA,NA,NA,"Quercus incana","tree","Quercus","incana","native","tree"
112,112,"blanding","f1",20170622,110,"1252","PICL",17.3,1,"d",8.2,182,11.6,NA,NA,"Pinus clausa","tree","Pinus","clausa","native","tree"
113,113,"blanding","f1",20170622,111,"1257","QUIN",5.2,2,"u",12.1,179,NA,NA,NA,"Quercus incana","tree","Quercus","incana","native","tree"
114,114,"blanding","f1",20170622,112,"1255","QULA",6.9,2,"i",6.7,196,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
115,115,"blanding","f1",20170622,113,"1245","QULA",5.3,1,"i",6.9,203,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
116,116,"blanding","f1",20170622,114,"1249","QULA",6.5,1,"i",7.1,205,6.9,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
117,117,"blanding","f1",20170622,115,"1265","PIPA",8.2,1,"i",9.8,196,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
118,118,"blanding","f1",20170622,116,"1264","PIPA",5.3,1,"u",9.2,205,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
119,119,"blanding","f1",20170622,117,"1263","QULA",3.3,1,"u",11.1,204,4.1,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
120,120,"blanding","f1",20170622,118,"1262","QULA",4.3,2,"u",12.4,203,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
121,121,"blanding","f1",20170622,119,"1247","PIPA",4.6,1,"u",11.7,210,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
122,122,"blanding","f1",20170622,120,"1253","PIPA",5.6,1,"i",9.15,215,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
123,123,"blanding","f1",20170622,121,"1271","QULA",5,2,"u",6.5,233,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
124,124,"blanding","f1",20170622,122,"1270","QULA",6.7,1,"i",6.7,230,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
125,125,"blanding","f1",20170622,123,"1269","PIPA",4.3,1,"u",9.4,232,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
126,126,"blanding","f1",20170622,124,"1246","QULA",4.6,2,"u",11.8,241,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
127,127,"blanding","f1",20170622,125,"1248","QULA",5,0,"u",11.5,244,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
128,128,"blanding","f1",20170622,126,"1268","QULA",3.8,2,"u",8.1,249,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
129,129,"blanding","f1",20170622,127,"1259","PICL",8.6,1,"d",8.6,250,NA,NA,NA,"Pinus clausa","tree","Pinus","clausa","native","tree"
130,130,"blanding","f1",20170622,128,"1254","QUGE",3.1,1,"u",11.9,242,NA,NA,NA,"Quercus geminata","tree","Quercus","geminata","native","tree"
131,131,"blanding","f1",20170622,129,"1267","QUGE",8.5,1,"i",12.1,244,NA,NA,NA,"Quercus geminata","tree","Quercus","geminata","native","tree"
132,132,"blanding","f1",20170622,130,"1260","PICL",25.5,1,"d",5.1,264,NA,NA,NA,"Pinus clausa","tree","Pinus","clausa","native","tree"
133,133,"blanding","f1",20170622,131,"1303","PIPA",14.2,1,"c",8.2,260,13.4,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
134,134,"blanding","f1",20170622,132,"1304","QULA",6.3,2,"u",10.7,255,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
135,135,"blanding","f1",20170622,133,"1305","PIPA",5.7,1,"u",9.4,279,6.1,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
136,136,"blanding","f1",20170622,134,"1301","DIVI",5.5,2,"i",2.7,294,NA,NA,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
137,137,"blanding","f1",20170622,135,"1302","DIVI",4.2,0,"u",2.6,313,NA,NA,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
138,138,"blanding","f1",20170622,136,"1316","DIVI",4,2,"i",3.6,295,NA,NA,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
139,139,"blanding","f1",20170622,137,"1318","PICL",22.1,1,"d",6.9,291,15.3,NA,NA,"Pinus clausa","tree","Pinus","clausa","native","tree"
140,140,"blanding","f1",20170622,138,"1310","PICL",21.1,1,"d",6.6,301,NA,NA,NA,"Pinus clausa","tree","Pinus","clausa","native","tree"
141,141,"blanding","f1",20170622,139,"1311","QUHE",5.4,1,"i",5,305,NA,NA,NA,"Quercus hemisphaerica","tree","Quercus","hemisphaerica","native","tree"
142,142,"blanding","f1",20170622,140,"1308","QUHE",5.3,1,"i",5.3,305,NA,NA,NA,"Quercus hemisphaerica","tree","Quercus","hemisphaerica","native","tree"
143,143,"blanding","f1",20170622,141,"1317","QULA",3.7,1,"u",6.6,319,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
144,144,"blanding","f1",20170622,142,"1319","QULA",6.2,1,"i",6.7,332,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
145,145,"blanding","f1",20170622,143,"1314","QULA",3.4,2,"u",8.1,333,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
146,146,"blanding","f1",20170622,144,"1313","QULA",3.9,2,"u",9.5,319,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
147,147,"blanding","f1",20170622,145,"1309","PIPA",7.3,1,"i",12.6,348,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
148,148,"blanding","f1",20170622,146,"1312","QUHE",6.2,2,"u",7.5,349,NA,NA,NA,"Quercus hemisphaerica","tree","Quercus","hemisphaerica","native","tree"
149,149,"blanding","f1",20170622,147,"1306","QULA",4.6,2,"u",6.6,355,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
150,150,"blanding","f1",20170622,148,"1320","QULA",10.5,1,"i",9.5,2,7.2,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
151,151,"blanding","f1",20170622,149,"1325","PIPA",10.6,1,"i",11.2,2,9.2,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
152,152,"blanding","f1",20170622,150,"1324","QULA",5.2,2,"u",12,3,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
153,153,"blanding","f1",20170622,151,"1323","QULA",3.9,3,"u",5.6,5,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
154,154,"blanding","f1",20170622,152,"1322","QULA",3.9,2,"u",12.1,23,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
155,155,"blanding","f1",20170622,153,"1315","QULA",4,3,"u",9.5,24,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
156,156,"blanding","f1",20170622,154,"1321","QULA",4.8,2,"i",10.8,31,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
157,157,"blanding","f1",20170622,155,"1307","QULA",10.1,1,"i",10.5,40,6.2,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
158,158,"blanding","f1",20170622,156,"1339","QULA",3.6,1,"u",12.3,40,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
159,159,"blanding","f1",20170622,157,"1338","QULA",4.3,1,"u",9.6,50,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
160,160,"blanding","f1",20170622,158,"1329","QULA",5.9,1,"i",9.9,53,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
161,161,"blanding","h1",20170620,159,"1150","PITA",21.6,1,"d",5.9,290,18.9,NA,NA,"Pinus taeda","tree","Pinus","taeda","native","tree"
162,162,"blanding","h1",20170620,160,"1160","PITA",22.5,1,"d",6.3,264,NA,NA,NA,"Pinus taeda","tree","Pinus","taeda","native","tree"
163,163,"blanding","h1",20170620,161,"1163","PITA",14.4,1,"d",11.1,298,NA,NA,NA,"Pinus taeda","tree","Pinus","taeda","native","tree"
164,164,"blanding","h1",20170620,162,"1164","PITA",20.4,1,"d",9.5,301,NA,NA,NA,"Pinus taeda","tree","Pinus","taeda","native","tree"
165,165,"blanding","h1",20170620,163,"1159","PITA",23.2,1,"d",10.5,265,NA,NA,NA,"Pinus taeda","tree","Pinus","taeda","native","tree"
166,166,"blanding","h1",20170620,164,"1157","QUHE",4.2,1,"i",10.1,263,NA,NA,NA,"Quercus hemisphaerica","tree","Quercus","hemisphaerica","native","tree"
167,167,"blanding","h1",20170620,164,"1155","QUHE",5.9,1,"i",9.9,263,NA,NA,NA,"Quercus hemisphaerica","tree","Quercus","hemisphaerica","native","tree"
168,168,"blanding","h1",20170620,164,"1156","QUHE",7.1,1,"i",10,260,NA,NA,NA,"Quercus hemisphaerica","tree","Quercus","hemisphaerica","native","tree"
169,169,"blanding","h1",20170620,164,"1152","QUHE",7.2,1,"i",10.3,263,NA,NA,NA,"Quercus hemisphaerica","tree","Quercus","hemisphaerica","native","tree"
170,170,"blanding","h1",20170620,164,"1153","QUHE",4.6,1,"i",10,260,NA,NA,NA,"Quercus hemisphaerica","tree","Quercus","hemisphaerica","native","tree"
171,171,"blanding","h1",20170620,165,"1151","PITA",27.2,1,"d",7.5,248,NA,NA,NA,"Pinus taeda","tree","Pinus","taeda","native","tree"
172,172,"blanding","h1",20170620,166,"1165","PITA",26,1,"d",9.3,235,NA,NA,NA,"Pinus taeda","tree","Pinus","taeda","native","tree"
173,173,"blanding","h1",20170620,167,"1154","PITA",23.1,1,"d",5.4,220,NA,NA,NA,"Pinus taeda","tree","Pinus","taeda","native","tree"
174,174,"blanding","h1",20170620,168,"1166","PITA",19.4,1,"d",7.7,211,NA,NA,NA,"Pinus taeda","tree","Pinus","taeda","native","tree"
175,175,"blanding","h1",20170620,169,"1181","QUNI",13.2,2,"i",8.7,149,10.8,NA,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
176,176,"blanding","h1",20170620,170,"1183","QUNI",9.8,1,"i",8.7,151,NA,NA,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
177,177,"blanding","h1",20170620,171,"1182","QUNI",3.7,1,"i",8.7,152,NA,NA,NA,"Quercus nigra","tree","Quercus","nigra","native","tree"
178,178,"blanding","h1",20170620,172,"1170","PITA",18,1,"c",4.7,135,NA,NA,NA,"Pinus taeda","tree","Pinus","taeda","native","tree"
