LocationID,Tag,Invaded,Date,JulianDay,days,life_stage,sex,alive,dead,survival,logger_id,visit_number
C-9,3153,invaded,2018-07-06,187,15,nymph,nymph,10,0,1,9,3
C-10,3145,invaded,2018-07-06,187,15,nymph,nymph,10,0,1,10,3
C-11,3152,invaded,2018-07-06,187,15,nymph,nymph,10,0,1,11,3
C-12,3148,invaded,2018-07-06,187,15,nymph,nymph,10,0,1,12,3
N-1,3165,native,2018-07-06,187,15,nymph,nymph,4,6,0.4,13,3
N-2,3159,native,2018-07-06,187,15,nymph,nymph,8,0,1,14,3
N-3,3166,native,2018-07-06,187,15,nymph,nymph,5,5,0.5,15,3
N-4,3149,native,2018-07-06,187,15,nymph,nymph,9,1,0.9,16,3
N-5,3162,native,2018-07-06,187,15,nymph,nymph,2,8,0.2,17,3
N-6,3155,native,2018-07-06,187,15,nymph,nymph,5,4,0.555555556,18,3
N-7,3157,native,2018-07-06,187,15,nymph,nymph,9,0,1,19,3
N-8,3160,native,2018-07-06,187,15,nymph,nymph,6,4,0.6,20,3
N-9,3163,native,2018-07-06,187,15,nymph,nymph,6,4,0.6,21,3
N-10,3164,native,2018-07-06,187,15,nymph,nymph,8,4,0.666666667,22,3
N-11,3150,native,2018-07-06,187,15,nymph,nymph,9,1,0.9,23,3
N-12,3158,native,2018-07-06,187,15,nymph,nymph,10,0,1,24,3
N-1,3165,native,2018-07-16,197,25,nymph,nymph,4,6,0.4,13,4
N-2,3159,native,2018-07-16,197,25,nymph,nymph,10,0,1,14,4
N-3,3166,native,2018-07-16,197,25,nymph,nymph,5,5,0.5,15,4
N-4,3149,native,2018-07-16,197,25,nymph,nymph,9,1,0.9,16,4
N-5,3162,native,2018-07-16,197,25,nymph,nymph,2,8,0.2,17,4
N-6,3155,native,2018-07-16,197,25,nymph,nymph,5,5,0.5,18,4
N-7,3157,native,2018-07-16,197,25,nymph,nymph,9,0,1,19,4
N-8,3160,native,2018-07-16,197,25,nymph,nymph,6,4,0.6,20,4
N-9,3163,native,2018-07-16,197,25,nymph,nymph,6,4,0.6,21,4
N-10,3164,native,2018-07-16,197,25,nymph,nymph,8,4,0.666666667,22,4
N-11,3150,native,2018-07-16,197,25,nymph,nymph,9,1,0.9,23,4
N-12,3158,native,2018-07-16,197,25,nymph,nymph,10,0,1,24,4
C-1,3161,invaded,2018-07-16,197,25,nymph,nymph,10,0,1,1,4
C-2,3147,invaded,2018-07-16,197,25,nymph,nymph,10,0,1,2,4
C-3,3144,invaded,2018-07-16,197,25,nymph,nymph,4,1,0.8,3,4
C-4,3156,invaded,2018-07-16,197,25,nymph,nymph,10,0,1,4,4
C-5,3154,invaded,2018-07-16,197,25,nymph,nymph,9,1,0.9,5,4
C-6,3143,invaded,2018-07-16,197,25,nymph,nymph,8,2,0.8,6,4
C-7,3146,invaded,2018-07-16,197,25,nymph,nymph,8,2,0.8,7,4
C-8,3151,invaded,2018-07-16,197,25,nymph,nymph,10,0,1,8,4
C-9,3153,invaded,2018-07-16,197,25,nymph,nymph,10,0,1,9,4
C-10,3145,invaded,2018-07-16,197,25,nymph,nymph,10,0,1,10,4
C-11,3152,invaded,2018-07-16,197,25,nymph,nymph,10,0,1,11,4
C-12,3148,invaded,2018-07-16,197,25,nymph,nymph,10,0,1,12,4
N-1,3165,native,2018-07-23,204,32,nymph,nymph,4,6,0.4,13,5
N-2,3159,native,2018-07-23,204,32,nymph,nymph,9,0,1,14,5
N-3,3166,native,2018-07-23,204,32,nymph,nymph,5,5,0.5,15,5
N-4,3149,native,2018-07-23,204,32,nymph,nymph,9,1,0.9,16,5
N-5,3162,native,2018-07-23,204,32,nymph,nymph,2,8,0.2,17,5
N-6,3155,native,2018-07-23,204,32,nymph,nymph,5,5,0.5,18,5
N-7,3157,native,2018-07-23,204,32,nymph,nymph,10,0,1,19,5
N-8,3160,native,2018-07-23,204,32,nymph,nymph,6,4,0.6,20,5
N-9,3163,native,2018-07-23,204,32,nymph,nymph,6,4,0.6,21,5
N-10,3164,native,2018-07-23,204,32,nymph,nymph,8,4,0.666666667,22,5
N-11,3150,native,2018-07-23,204,32,nymph,nymph,9,1,0.9,23,5
N-12,3158,native,2018-07-23,204,32,nymph,nymph,10,0,1,24,5
C-1,3161,invaded,2018-07-23,204,32,nymph,nymph,10,0,1,1,5
C-2,3147,invaded,2018-07-23,204,32,nymph,nymph,10,0,1,2,5
C-3,3144,invaded,2018-07-23,204,32,nymph,nymph,4,1,0.8,3,5
C-4,3156,invaded,2018-07-23,204,32,nymph,nymph,10,0,1,4,5
C-5,3154,invaded,2018-07-23,204,32,nymph,nymph,9,1,0.9,5,5
C-6,3143,invaded,2018-07-23,204,32,nymph,nymph,8,2,0.8,6,5
C-7,3146,invaded,2018-07-23,204,32,nymph,nymph,8,2,0.8,7,5
C-8,3151,invaded,2018-07-23,204,32,nymph,nymph,10,0,1,8,5
C-9,3153,invaded,2018-07-23,204,32,nymph,nymph,10,0,1,9,5
C-10,3145,invaded,2018-07-23,204,32,nymph,nymph,10,0,1,10,5
C-11,3152,invaded,2018-07-23,204,32,nymph,nymph,10,0,1,11,5
C-12,3148,invaded,2018-07-23,204,32,nymph,nymph,10,0,1,12,5
N-1,3165,native,2018-07-30,211,39,nymph,nymph,4,6,0.4,13,6
N-2,3159,native,2018-07-30,211,39,nymph,nymph,10,0,1,14,6
N-3,3166,native,2018-07-30,211,39,nymph,nymph,5,5,0.5,15,6
N-4,3149,native,2018-07-30,211,39,nymph,nymph,9,1,0.9,16,6
N-5,3162,native,2018-07-30,211,39,nymph,nymph,2,8,0.2,17,6
N-6,3155,native,2018-07-30,211,39,nymph,nymph,5,5,0.5,18,6
N-7,3157,native,2018-07-30,211,39,nymph,nymph,10,0,1,19,6
N-8,3160,native,2018-07-30,211,39,nymph,nymph,6,4,0.6,20,6
N-9,3163,native,2018-07-30,211,39,nymph,nymph,6,4,0.6,21,6
N-10,3164,native,2018-07-30,211,39,nymph,nymph,8,4,0.666666667,22,6
N-11,3150,native,2018-07-30,211,39,nymph,nymph,9,1,0.9,23,6
N-12,3158,native,2018-07-30,211,39,nymph,nymph,10,0,1,24,6
C-1,3161,invaded,2018-07-30,211,39,nymph,nymph,10,0,1,1,6
C-2,3147,invaded,2018-07-30,211,39,nymph,nymph,10,0,1,2,6
C-3,3144,invaded,2018-07-30,211,39,nymph,nymph,3,1,0.75,3,6
C-4,3156,invaded,2018-07-30,211,39,nymph,nymph,10,0,1,4,6
C-5,3154,invaded,2018-07-30,211,39,nymph,nymph,9,1,0.9,5,6
C-6,3143,invaded,2018-07-30,211,39,nymph,nymph,8,2,0.8,6,6
C-7,3146,invaded,2018-07-30,211,39,nymph,nymph,8,2,0.8,7,6
C-8,3151,invaded,2018-07-30,211,39,nymph,nymph,10,0,1,8,6
C-9,3153,invaded,2018-07-30,211,39,nymph,nymph,10,0,1,9,6
C-10,3145,invaded,2018-07-30,211,39,nymph,nymph,10,0,1,10,6
C-11,3152,invaded,2018-07-30,211,39,nymph,nymph,10,0,1,11,6
C-12,3148,invaded,2018-07-30,211,39,nymph,nymph,10,0,1,12,6
C-1,3161,invaded,2018-08-15,227,55,nymph,nymph,10,0,1,1,7
C-2,3147,invaded,2018-08-15,227,55,nymph,nymph,10,0,1,2,7
C-3,3144,invaded,2018-08-15,227,55,nymph,nymph,2,1,0.666666667,3,7
C-4,3156,invaded,2018-08-15,227,55,nymph,nymph,10,0,1,4,7
C-5,3154,invaded,2018-08-15,227,55,nymph,nymph,9,1,0.9,5,7
C-6,3143,invaded,2018-08-15,227,55,nymph,nymph,8,2,0.8,6,7
C-7,3146,invaded,2018-08-15,227,55,nymph,nymph,8,2,0.8,7,7
C-8,3151,invaded,2018-08-15,227,55,nymph,nymph,10,0,1,8,7
C-9,3153,invaded,2018-08-15,227,55,nymph,nymph,10,0,1,9,7
C-10,3145,invaded,2018-08-15,227,55,nymph,nymph,10,0,1,10,7
C-11,3152,invaded,2018-08-15,227,55,nymph,nymph,10,0,1,11,7
C-12,3148,invaded,2018-08-15,227,55,nymph,nymph,10,0,1,12,7
N-1,3165,native,2018-08-15,227,55,nymph,nymph,4,6,0.4,13,7
N-2,3159,native,2018-08-15,227,55,nymph,nymph,10,0,1,14,7
N-3,3166,native,2018-08-15,227,55,nymph,nymph,5,5,0.5,15,7
N-4,3149,native,2018-08-15,227,55,nymph,nymph,9,1,0.9,16,7
N-5,3162,native,2018-08-15,227,55,nymph,nymph,2,8,0.2,17,7
N-6,3155,native,2018-08-15,227,55,nymph,nymph,5,5,0.5,18,7
N-7,3157,native,2018-08-15,227,55,nymph,nymph,10,0,1,19,7
N-8,3160,native,2018-08-15,227,55,nymph,nymph,6,4,0.6,20,7
N-9,3163,native,2018-08-15,227,55,nymph,nymph,6,4,0.6,21,7
N-10,3164,native,2018-08-15,227,55,nymph,nymph,8,4,0.666666667,22,7
N-11,3150,native,2018-08-15,227,55,nymph,nymph,9,1,0.9,23,7
N-12,3158,native,2018-08-15,227,55,nymph,nymph,10,0,1,24,7
C-1,3161,invaded,2018-08-27,240,67,nymph,nymph,9,1,0.9,1,8
C-2,3147,invaded,2018-08-27,240,67,nymph,nymph,9,1,0.9,2,8
C-3,3144,invaded,2018-08-27,240,67,nymph,nymph,2,1,0.666666667,3,8
C-4,3156,invaded,2018-08-27,240,67,nymph,nymph,10,0,1,4,8
C-5,3154,invaded,2018-08-27,240,67,nymph,nymph,9,1,0.9,5,8
C-6,3143,invaded,2018-08-27,240,67,nymph,nymph,8,2,0.8,6,8
C-7,3146,invaded,2018-08-27,240,67,nymph,nymph,8,2,0.8,7,8
C-8,3151,invaded,2018-08-27,240,67,nymph,nymph,10,0,1,8,8
C-9,3153,invaded,2018-08-27,240,67,nymph,nymph,9,0,1,9,8
C-10,3145,invaded,2018-08-27,240,67,nymph,nymph,10,0,1,10,8
C-11,3152,invaded,2018-08-27,240,67,nymph,nymph,10,0,1,11,8
C-12,3148,invaded,2018-08-27,240,67,nymph,nymph,8,2,0.8,12,8
N-1,3165,native,2018-08-27,240,67,nymph,nymph,4,6,0.4,13,8
N-2,3159,native,2018-08-27,240,67,nymph,nymph,10,0,1,14,8
N-3,3166,native,2018-08-27,240,67,nymph,nymph,5,5,0.5,15,8
N-4,3149,native,2018-08-27,240,67,nymph,nymph,9,1,0.9,16,8
N-5,3162,native,2018-08-27,240,67,nymph,nymph,2,8,0.2,17,8
N-6,3155,native,2018-08-27,240,67,nymph,nymph,1,9,0.1,18,8
N-7,3157,native,2018-08-27,240,67,nymph,nymph,10,0,1,19,8
N-8,3160,native,2018-08-27,240,67,nymph,nymph,6,4,0.6,20,8
N-9,3163,native,2018-08-27,240,67,nymph,nymph,6,4,0.6,21,8
N-10,3164,native,2018-08-27,240,67,nymph,nymph,8,4,0.666666667,22,8
N-11,3150,native,2018-08-27,240,67,nymph,nymph,8,2,0.8,23,8
N-12,3158,native,2018-08-27,240,67,nymph,nymph,10,0,1,24,8
C-1,3161,invaded,2018-09-06,249,77,nymph,nymph,9,1,0.9,1,9
C-2,3147,invaded,2018-09-06,249,77,nymph,nymph,9,1,0.9,2,9
C-3,3144,invaded,2018-09-06,249,77,nymph,nymph,2,1,0.666666667,3,9
C-4,3156,invaded,2018-09-06,249,77,nymph,nymph,10,0,1,4,9
C-5,3154,invaded,2018-09-06,249,77,nymph,nymph,8,1,0.888888889,5,9
C-6,3143,invaded,2018-09-06,249,77,nymph,nymph,8,2,0.8,6,9
C-7,3146,invaded,2018-09-06,249,77,nymph,nymph,8,2,0.8,7,9
C-8,3151,invaded,2018-09-06,249,77,nymph,nymph,10,0,1,8,9
C-9,3153,invaded,2018-09-06,249,77,nymph,nymph,9,0,1,9,9
C-10,3145,invaded,2018-09-06,249,77,nymph,nymph,10,0,1,10,9
C-11,3152,invaded,2018-09-06,249,77,nymph,nymph,10,0,1,11,9
C-12,3148,invaded,2018-09-06,249,77,nymph,nymph,8,2,0.8,12,9
N-1,3165,native,2018-09-06,249,77,nymph,nymph,4,6,0.4,13,9
N-2,3159,native,2018-09-06,249,77,nymph,nymph,10,0,1,14,9
N-3,3166,native,2018-09-06,249,77,nymph,nymph,4,6,0.4,15,9
N-4,3149,native,2018-09-06,249,77,nymph,nymph,9,1,0.9,16,9
N-5,3162,native,2018-09-06,249,77,nymph,nymph,2,8,0.2,17,9
N-6,3155,native,2018-09-06,249,77,nymph,nymph,1,9,0.1,18,9
N-7,3157,native,2018-09-06,249,77,nymph,nymph,10,0,1,19,9
N-8,3160,native,2018-09-06,249,77,nymph,nymph,6,4,0.6,20,9
N-9,3163,native,2018-09-06,249,77,nymph,nymph,5,4,0.555555556,21,9
N-10,3164,native,2018-09-06,249,77,nymph,nymph,7,4,0.636363636,22,9
N-11,3150,native,2018-09-06,249,77,nymph,nymph,7,3,0.7,23,9
N-12,3158,native,2018-09-06,249,77,nymph,nymph,10,0,1,24,9
C-1,3161,invaded,2018-09-18,261,89,nymph,nymph,9,1,0.9,1,10
C-2,3147,invaded,2018-09-18,261,89,nymph,nymph,8,2,0.8,2,10
C-3,3144,invaded,2018-09-18,261,89,nymph,nymph,2,1,0.666666667,3,10
C-4,3156,invaded,2018-09-18,261,89,nymph,nymph,10,0,1,4,10
C-5,3154,invaded,2018-09-18,261,89,nymph,nymph,8,1,0.888888889,5,10
C-6,3143,invaded,2018-09-18,261,89,nymph,nymph,7,3,0.7,6,10
C-7,3146,invaded,2018-09-18,261,89,nymph,nymph,8,2,0.8,7,10
C-8,3151,invaded,2018-09-18,261,89,nymph,nymph,10,0,1,8,10
C-9,3153,invaded,2018-09-18,261,89,nymph,nymph,8,2,0.8,9,10
C-10,3145,invaded,2018-09-18,261,89,nymph,nymph,10,0,1,10,10
C-11,3152,invaded,2018-09-18,261,89,nymph,nymph,9,1,0.9,11,10
C-12,3148,invaded,2018-09-18,261,89,nymph,nymph,4,6,0.4,12,10
N-1,3165,native,2018-09-18,261,89,nymph,nymph,4,6,0.4,13,10
N-2,3159,native,2018-09-18,261,89,nymph,nymph,8,2,0.8,14,10
N-3,3166,native,2018-09-18,261,89,nymph,nymph,4,6,0.4,15,10
N-4,3149,native,2018-09-18,261,89,nymph,nymph,9,1,0.9,16,10
N-5,3162,native,2018-09-18,261,89,nymph,nymph,2,8,0.2,17,10
N-6,3155,native,2018-09-18,261,89,nymph,nymph,0,10,0,18,10
N-7,3157,native,2018-09-18,261,89,nymph,nymph,7,3,0.7,19,10
N-8,3160,native,2018-09-18,261,89,nymph,nymph,4,6,0.4,20,10
N-9,3163,native,2018-09-18,261,89,nymph,nymph,4,5,0.444444444,21,10
N-10,3164,native,2018-09-18,261,89,nymph,nymph,2,9,0.181818182,22,10
N-11,3150,native,2018-09-18,261,89,nymph,nymph,6,4,0.6,23,10
N-12,3158,native,2018-09-18,261,89,nymph,nymph,10,0,1,24,10
C-1,3161,invaded,2018-09-27,270,98,nymph,nymph,8,2,0.8,1,11
C-2,3147,invaded,2018-09-27,270,98,nymph,nymph,7,3,0.7,2,11
C-3,3144,invaded,2018-09-27,270,98,nymph,nymph,2,1,0.666666667,3,11
C-4,3156,invaded,2018-09-27,270,98,nymph,nymph,9,1,0.9,4,11
C-5,3154,invaded,2018-09-27,270,98,nymph,nymph,7,2,0.777777778,5,11
C-6,3143,invaded,2018-09-27,270,98,nymph,nymph,7,3,0.7,6,11
C-7,3146,invaded,2018-09-27,270,98,nymph,nymph,6,4,0.6,7,11
C-8,3151,invaded,2018-09-27,270,98,nymph,nymph,7,3,0.7,8,11
C-9,3153,invaded,2018-09-27,270,98,nymph,nymph,6,4,0.6,9,11
C-10,3145,invaded,2018-09-27,270,98,nymph,nymph,8,2,0.8,10,11
C-11,3152,invaded,2018-09-27,270,98,nymph,nymph,8,2,0.8,11,11
C-12,3148,invaded,2018-09-27,270,98,nymph,nymph,4,6,0.4,12,11
N-1,3165,native,2018-09-27,270,98,nymph,nymph,3,7,0.3,13,11
N-2,3159,native,2018-09-27,270,98,nymph,nymph,7,3,0.7,14,11
N-3,3166,native,2018-09-27,270,98,nymph,nymph,2,8,0.2,15,11
N-4,3149,native,2018-09-27,270,98,nymph,nymph,8,2,0.8,16,11
N-5,3162,native,2018-09-27,270,98,nymph,nymph,1,9,0.1,17,11
N-6,3155,native,2018-09-27,270,98,nymph,nymph,0,10,0,18,11
N-7,3157,native,2018-09-27,270,98,nymph,nymph,5,5,0.5,19,11
N-8,3160,native,2018-09-27,270,98,nymph,nymph,1,9,0.1,20,11
N-9,3163,native,2018-09-27,270,98,nymph,nymph,4,5,0.444444444,21,11
N-10,3164,native,2018-09-27,270,98,nymph,nymph,2,9,0.181818182,22,11
N-11,3150,native,2018-09-27,270,98,nymph,nymph,4,6,0.4,23,11
N-12,3158,native,2018-09-27,270,98,nymph,nymph,10,0,1,24,11
C-1,3161,invaded,2018-10-09,282,110,nymph,nymph,8,2,0.8,1,12
C-2,3147,invaded,2018-10-09,282,110,nymph,nymph,7,3,0.7,2,12
C-3,3144,invaded,2018-10-09,282,110,nymph,nymph,2,1,0.666666667,3,12
C-4,3156,invaded,2018-10-09,282,110,nymph,nymph,9,1,0.9,4,12
C-5,3154,invaded,2018-10-09,282,110,nymph,nymph,6,3,0.666666667,5,12
C-6,3143,invaded,2018-10-09,282,110,nymph,nymph,6,4,0.6,6,12
C-7,3146,invaded,2018-10-09,282,110,nymph,nymph,3,7,0.3,7,12
C-8,3151,invaded,2018-10-09,282,110,nymph,nymph,3,7,0.3,8,12
C-9,3153,invaded,2018-10-09,282,110,nymph,nymph,3,7,0.3,9,12
C-10,3145,invaded,2018-10-09,282,110,nymph,nymph,6,4,0.6,10,12
C-11,3152,invaded,2018-10-09,282,110,nymph,nymph,6,4,0.6,11,12
C-12,3148,invaded,2018-10-09,282,110,nymph,nymph,2,8,0.2,12,12
N-1,3165,native,2018-10-09,282,110,nymph,nymph,1,9,0.1,13,12
N-2,3159,native,2018-10-09,282,110,nymph,nymph,5,5,0.5,14,12
N-3,3166,native,2018-10-09,282,110,nymph,nymph,1,9,0.1,15,12
N-4,3149,native,2018-10-09,282,110,nymph,nymph,5,5,0.5,16,12
N-5,3162,native,2018-10-09,282,110,nymph,nymph,1,9,0.1,17,12
N-6,3155,native,2018-10-09,282,110,nymph,nymph,0,10,0,18,12
N-7,3157,native,2018-10-09,282,110,nymph,nymph,3,7,0.3,19,12
N-8,3160,native,2018-10-09,282,110,nymph,nymph,1,9,0.1,20,12
N-9,3163,native,2018-10-09,282,110,nymph,nymph,2,7,0.222222222,21,12
N-10,3164,native,2018-10-09,282,110,nymph,nymph,0,11,0,22,12
N-11,3150,native,2018-10-09,282,110,nymph,nymph,1,9,0.1,23,12
N-12,3158,native,2018-10-09,282,110,nymph,nymph,9,0,1,24,12
C-1,3161,invaded,2018-10-25,298,126,nymph,nymph,5,5,0.5,1,13
C-2,3147,invaded,2018-10-25,298,126,nymph,nymph,6,4,0.6,2,13
C-3,3144,invaded,2018-10-25,298,126,nymph,nymph,2,1,0.666666667,3,13
C-4,3156,invaded,2018-10-25,298,126,nymph,nymph,6,4,0.6,4,13
C-5,3154,invaded,2018-10-25,298,126,nymph,nymph,5,4,0.555555556,5,13
C-6,3143,invaded,2018-10-25,298,126,nymph,nymph,1,9,0.1,6,13
C-7,3146,invaded,2018-10-25,298,126,nymph,nymph,2,8,0.2,7,13
C-8,3151,invaded,2018-10-25,298,126,nymph,nymph,2,8,0.2,8,13
C-9,3153,invaded,2018-10-25,298,126,nymph,nymph,3,7,0.3,9,13
C-10,3145,invaded,2018-10-25,298,126,nymph,nymph,2,8,0.2,10,13
C-11,3152,invaded,2018-10-25,298,126,nymph,nymph,2,8,0.2,11,13
C-12,3148,invaded,2018-10-25,298,126,nymph,nymph,2,8,0.2,12,13
N-1,3165,native,2018-10-25,298,126,nymph,nymph,1,9,0.1,13,13
N-2,3159,native,2018-10-25,298,126,nymph,nymph,1,9,0.1,14,13
N-3,3166,native,2018-10-25,298,126,nymph,nymph,0,10,0,15,13
N-4,3149,native,2018-10-25,298,126,nymph,nymph,2,8,0.2,16,13
N-5,3162,native,2018-10-25,298,126,nymph,nymph,1,9,0.1,17,13
N-6,3155,native,2018-10-25,298,126,nymph,nymph,0,10,0,18,13
N-7,3157,native,2018-10-25,298,126,nymph,nymph,1,9,0.1,19,13
N-8,3160,native,2018-10-25,298,126,nymph,nymph,0,10,0,20,13
N-9,3163,native,2018-10-25,298,126,nymph,nymph,1,8,0.111111111,21,13
N-10,3164,native,2018-10-25,298,126,nymph,nymph,0,11,0,22,13
N-11,3150,native,2018-10-25,298,126,nymph,nymph,0,10,0,23,13
N-12,3158,native,2018-10-25,298,126,nymph,nymph,5,4,0.555555556,24,13
C-1,3161,invaded,2018-11-14,318,146,nymph,nymph,2,8,0.2,1,14
C-2,3147,invaded,2018-11-14,318,146,nymph,nymph,5,5,0.5,2,14
C-3,3144,invaded,2018-11-14,318,146,nymph,nymph,1,2,0.333333333,3,14
C-4,3156,invaded,2018-11-14,318,146,nymph,nymph,2,8,0.2,4,14
C-5,3154,invaded,2018-11-14,318,146,nymph,nymph,4,5,0.444444444,5,14
C-6,3143,invaded,2018-11-14,318,146,nymph,nymph,1,9,0.1,6,14
C-7,3146,invaded,2018-11-14,318,146,nymph,nymph,1,9,0.1,7,14
C-8,3151,invaded,2018-11-14,318,146,nymph,nymph,0,10,0,8,14
C-9,3153,invaded,2018-11-14,318,146,nymph,nymph,3,7,0.3,9,14
C-10,3145,invaded,2018-11-14,318,146,nymph,nymph,2,8,0.2,10,14
C-11,3152,invaded,2018-11-14,318,146,nymph,nymph,1,9,0.1,11,14
C-12,3148,invaded,2018-11-14,318,146,nymph,nymph,2,8,0.2,12,14
N-1,3165,native,2018-11-14,318,146,nymph,nymph,0,10,0,13,14
N-2,3159,native,2018-11-14,318,146,nymph,nymph,0,10,0,14,14
N-3,3166,native,2018-11-14,318,146,nymph,nymph,0,10,0,15,14
N-4,3149,native,2018-11-14,318,146,nymph,nymph,2,8,0.2,16,14
N-5,3162,native,2018-11-14,318,146,nymph,nymph,1,9,0.1,17,14
N-6,3155,native,2018-11-14,318,146,nymph,nymph,0,10,0,18,14
N-7,3157,native,2018-11-14,318,146,nymph,nymph,1,9,0.1,19,14
N-8,3160,native,2018-11-14,318,146,nymph,nymph,0,10,0,20,14
N-9,3163,native,2018-11-14,318,146,nymph,nymph,0,9,0,21,14
N-10,3164,native,2018-11-14,318,146,nymph,nymph,0,11,0,22,14
N-11,3150,native,2018-11-14,318,146,nymph,nymph,0,10,0,23,14
N-12,3158,native,2018-11-14,318,146,nymph,nymph,3,6,0.333333333,24,14
C-1,3161,invaded,2018-11-27,331,159,nymph,nymph,2,8,0.2,1,15
C-2,3147,invaded,2018-11-27,331,159,nymph,nymph,3,7,0.3,2,15
C-3,3144,invaded,2018-11-27,331,159,nymph,nymph,1,2,0.333333333,3,15
C-4,3156,invaded,2018-11-27,331,159,nymph,nymph,2,8,0.2,4,15
C-5,3154,invaded,2018-11-27,331,159,nymph,nymph,1,8,0.111111111,5,15
C-6,3143,invaded,2018-11-27,331,159,nymph,nymph,1,9,0.1,6,15
C-7,3146,invaded,2018-11-27,331,159,nymph,nymph,0,10,0,7,15
